true_label,n_correct,n_suspicious,mean_dynamic_roi_inside_ratio,mean_border_attention_score,mean_dynamic_roi_area_ratio,suspicious_fraction_correct
0,1852,25,0.6659477401543317,0.1519271188437773,0.3578376253815511,0.013498920086393088
1,535,3,0.660231457349309,0.16099571830051912,0.3611784090096319,0.005607476635514018
2,1205,95,0.6441010482257595,0.17415155151028572,0.36366056212422726,0.07883817427385892
3,704,603,0.5299266716514055,0.21954989127760793,0.36426913627666974,0.8565340909090909
4,158,41,0.5942459360081673,0.1845609211227615,0.3641017794578274,0.25949367088607594
