epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,crop_scale_min,noise_std,noise_prob
1,1.1850561802051587,0.45451400899342786,0.44768052721963586,1.021998710623665,0.5552865213882163,0.5166707117327886,0.5040013356094005,0.0001,0.5,0.9,0.03,0.5
2,0.9669766834927693,0.5449671393981321,0.5698450568567638,0.8780487967749774,0.5649717514124294,0.6237412801743599,0.5789676992306555,0.0001,0.5,0.9,0.03,0.5
3,0.902207095599925,0.5613974403320651,0.5906771613032864,0.908184821010117,0.5996771589991929,0.6369876822560504,0.5999287419359787,0.0001,0.5,0.9,0.03,0.5
4,0.8769923537423231,0.575233483223798,0.6012440511487497,0.8176196970652918,0.6230831315577078,0.6324361800142423,0.6077505065645031,0.0001,0.5,0.9,0.03,0.5
5,0.831712672399922,0.5984088550674507,0.631896128200697,0.8775641852275704,0.6400322841000807,0.6320002804949445,0.6222154677000451,0.0001,0.5,0.9,0.03,0.5
6,0.8253631853327459,0.609996540989277,0.6372878213712065,0.8228842911218038,0.6295399515738499,0.6263278322562514,0.6148101432314368,0.0001,0.5,0.9,0.03,0.5
7,0.8073412450033668,0.6163957108267035,0.6476463616294158,0.7826130871718886,0.6069410815173527,0.6532739079035099,0.6207153300499748,0.0001,0.5,0.9,0.03,0.5
8,0.7805260429123371,0.6188170183327568,0.6573168125450407,0.8161239496058663,0.6577885391444713,0.6409030934343066,0.6183011051238289,0.0001,0.5,0.9,0.03,0.5
9,0.7675402436195381,0.6323071601521965,0.6633929458903416,0.7677819841421833,0.6497175141242938,0.6683561987522995,0.6452824959843103,0.0001,0.5,0.9,0.03,0.5
10,0.7435230836452641,0.6369768246281563,0.672552099119889,0.8364797690109056,0.5916061339790153,0.647331877773969,0.5973493196335398,0.0001,0.5,0.9,0.03,0.5
11,0.7249928772635049,0.6456243514354895,0.6841917497849352,0.7766143045808347,0.6505246166263116,0.6856125176199388,0.6551547552524566,0.0001,0.5,0.9,0.03,0.5
12,0.7221379638522276,0.6523694223452092,0.6869143417759949,0.8406612947162262,0.6263115415657788,0.630264299885052,0.6211392597248099,0.0001,0.5,0.9,0.03,0.5
13,0.7119310484630185,0.6464891041162227,0.6899122802624615,0.7694745620380399,0.6400322841000807,0.6850666431161031,0.6534944822365025,0.0001,0.5,0.9,0.03,0.5
14,0.685063658227396,0.6679349705984089,0.707369374506152,0.7818262731240005,0.609362389023406,0.6508367489943456,0.6162842454866365,0.0001,0.5,0.9,0.03,0.5
15,0.6670838861533903,0.6807333102732619,0.7184326681225597,0.8249842218928418,0.6658595641646489,0.6698437546488296,0.6504643114763512,0.0001,0.5,0.9,0.03,0.5
16,0.6611869554852005,0.6786579038395019,0.7185997152545774,0.8405818448757528,0.6658595641646489,0.659997398505058,0.6477910565356196,0.0001,0.5,0.9,0.03,0.5
17,0.6289153867879569,0.6919750951227949,0.7354909579196447,0.8515841155354298,0.6198547215496368,0.6692548064303268,0.6341782601506762,0.0001,0.5,0.9,0.03,0.5
18,0.6331735401469422,0.6814251124178485,0.7261857095336761,0.8606671695751563,0.5851493139628733,0.6337678060053833,0.5959650027119517,0.0001,0.5,0.9,0.03,0.5
19,0.6119932587564878,0.7023521272915946,0.7460260931684651,0.8810014041370687,0.6368038740920097,0.6592312172042177,0.634203664399678,0.0001,0.5,0.9,0.03,0.5
20,0.5802631025308558,0.7212037357315808,0.7627560993939764,0.8889822562295069,0.6174334140435835,0.6692984021789508,0.6338247274874041,0.0001,0.5,0.9,0.03,0.5
21,0.582564350984287,0.7180906260809409,0.7576621223617332,0.8594387397831539,0.5633575464083939,0.6310084495089338,0.5786192536569087,0.0001,0.5,0.9,0.03,0.5
22,0.5637902021614254,0.7189553787616741,0.7654311360957037,0.8373701446137186,0.6763518966908797,0.6867876890177582,0.6694626978216598,0.0001,0.5,0.9,0.03,0.5
23,0.5386493084382038,0.7348668280871671,0.7781843344902059,0.9213897201252907,0.6658595641646489,0.653788201619572,0.6377107588952907,0.0001,0.5,0.9,0.03,0.5
24,0.5260047443553841,0.7454168107921134,0.7848170527810022,0.9221667721206089,0.655367231638418,0.657260190159798,0.6434011727990028,0.0001,0.5,0.9,0.03,0.5
25,0.5048115519257163,0.7519889311656867,0.7913120743830766,0.9115439130713422,0.6529459241323649,0.6802069508035424,0.6597789879178778,0.0001,0.5,0.9,0.03,0.5
26,0.4865688257298227,0.7736077481840193,0.8088913264942041,0.9517958045871725,0.6166263115415658,0.662879691230755,0.6283027731774576,0.0001,0.5,0.9,0.03,0.5
27,0.4676704153454621,0.7734347976478727,0.8074248653918417,0.9564003625447178,0.648910411622276,0.681125553995533,0.654207449074402,0.0001,0.5,0.9,0.03,0.5
28,0.44692842517755554,0.7895191975095123,0.8265997946326298,0.939954189473915,0.6174334140435835,0.6568317246601599,0.6168793123946128,0.0001,0.5,0.9,0.03,0.5
29,0.4389539341258986,0.7962642684192321,0.8274464068747667,0.9926801837794332,0.642453591606134,0.6749581966850403,0.6480833791070708,0.0001,0.5,0.9,0.03,0.5
30,0.4277443145229428,0.7931511587685922,0.8223128769360095,0.9479453014307584,0.6117836965294592,0.6585713043485721,0.6224874028360622,0.0001,0.5,0.9,0.03,0.5
