epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_prob,blur_kernel,suspicious_label_smoothing,noise_std,noise_prob
1,1.111973407853231,0.4680041508128675,0.4549672274132942,0.9486130100281802,0.519774011299435,0.49910354007385704,0.5136393395530131,0.0001,0.5,21,0.1,0.02,0.5
2,0.899437909656559,0.5613974403320651,0.5769534206063751,0.7879949588752544,0.6335754640839386,0.6398576838842263,0.6333929230066818,0.0001,0.5,21,0.1,0.02,0.5
3,0.8446718755992215,0.5999654098927707,0.6236529860683461,0.8085666906458414,0.6359967715899919,0.6671842644970312,0.6430466604948704,0.0001,0.5,21,0.1,0.02,0.5
4,0.8046419338056762,0.613109650639917,0.6476770501188998,0.7504125375051091,0.6198547215496368,0.64777849203781,0.6294134772246225,0.0001,0.5,21,0.1,0.02,0.5
5,0.7661760479716931,0.638706329989623,0.6744761190639169,0.7074836802347905,0.6319612590799032,0.6622986904957741,0.6407999066282217,0.0001,0.5,21,0.1,0.02,0.5
6,0.7309060847623172,0.651504669664476,0.6905688636821544,0.7182732080864849,0.6351896690879741,0.6498339062060693,0.6272783704982144,0.0001,0.5,21,0.1,0.02,0.5
7,0.7072329268410972,0.6732964372189554,0.7111592546556431,0.7392650950065632,0.6650524616626311,0.6808259071856435,0.6721484512066246,0.0001,0.5,21,0.1,0.02,0.5
8,0.6613206278747936,0.6982013144240747,0.7425447108280714,0.831716863881974,0.6811945117029863,0.66696318730269,0.6594095322200343,0.0001,0.5,21,0.1,0.02,0.5
9,0.6300003017904189,0.716015219647181,0.7633445836930812,0.7693882166401237,0.6577885391444713,0.6731046303743857,0.6615042396285452,0.0001,0.5,21,0.1,0.02,0.5
10,0.5997941534810312,0.7319266689726738,0.767633576854889,0.8488273789701778,0.5706214689265536,0.6494645927784596,0.5881659548219588,0.0001,0.5,21,0.1,0.02,0.5
11,0.5590458093362464,0.7531995849187132,0.7925830205242816,0.8507250366767055,0.6303470540758677,0.668011160621892,0.6406053480721222,0.0001,0.5,21,0.1,0.02,0.5
12,0.5105501467929666,0.7813905223106191,0.8172239266284727,0.8515957536490046,0.6690879741727199,0.6733308628539513,0.6608703731619548,0.0001,0.5,21,0.1,0.02,0.5
13,0.4889846431965731,0.8021445866482186,0.8306012699539549,0.9622661260387366,0.6448748991121872,0.6645681577222928,0.6455289833348499,0.0001,0.5,21,0.1,0.02,0.5
14,0.4565631374278641,0.8168453822206849,0.8381948238175662,0.8966100481703361,0.6561743341404358,0.6776890557701003,0.6602824421872411,0.0001,0.5,21,0.1,0.02,0.5
15,0.3928082261643002,0.8512625389138706,0.8762813141402909,1.027475721358387,0.6384180790960452,0.6577402837548083,0.6344404062265934,0.0001,0.5,21,0.1,0.02,0.5
16,0.36381453501955524,0.864406779661017,0.8873503219575236,1.0712209456300332,0.6400322841000807,0.6602809229936304,0.6400904480452904,0.0001,0.5,21,0.1,0.02,0.5
17,0.33559806428950206,0.8817018332756832,0.9021085115418035,1.1280165671147677,0.5770782889426957,0.6358886684108093,0.5968901437599059,0.0001,0.5,21,0.1,0.02,0.5
18,0.33968239664175814,0.8830854375648565,0.8964101387422106,1.097469116503236,0.6012913640032284,0.6253676132806911,0.6000631508139164,0.0001,0.5,21,0.1,0.02,0.5
19,0.29355400309110957,0.9107575233483224,0.9228647567261096,1.2525344244215737,0.6004842615012107,0.6428743431514746,0.6130895538055161,0.0001,0.5,21,0.1,0.02,0.5
20,0.267161905286181,0.923728813559322,0.9372090664152859,1.1684909231052754,0.6037126715092817,0.653482953417237,0.6199755028555868,0.0001,0.5,21,0.1,0.02,0.5
21,0.2632349744021624,0.9188861985472155,0.9330424080719013,1.2772362319282027,0.5512510088781275,0.6351711623989384,0.5735907767068447,0.0001,0.5,21,0.1,0.02,0.5
22,0.24020168669225433,0.9301279833967485,0.9426313785819531,1.2039395174593384,0.6166263115415658,0.6360613910024562,0.6135766531428477,0.0001,0.5,21,0.1,0.02,0.5
23,0.26200787713786633,0.9245935662400554,0.936730091406351,1.2141657612129408,0.639225181598063,0.6509919631648631,0.6356990139303897,0.0001,0.5,21,0.1,0.02,0.5
24,0.22415944036780572,0.9408509166378416,0.9505637684151951,1.260155254621675,0.6416464891041163,0.6544748585476393,0.6434370894548563,0.0001,0.5,21,0.1,0.02,0.5
25,0.23301214682191496,0.9379107575233483,0.947609194890832,1.286519755126008,0.639225181598063,0.6529597600228085,0.6412439983365781,0.0001,0.5,21,0.1,0.02,0.5
26,0.23746858689507494,0.9377378069872017,0.93971254329852,1.2275531427864108,0.6133979015334947,0.6407753347604948,0.6211076591330658,0.0001,0.5,21,0.1,0.02,0.5
27,0.21568619515663073,0.952957454168108,0.9511077868062289,1.2656252110216095,0.5754640839386602,0.6358713519575427,0.5879660782214531,0.0001,0.5,21,0.1,0.02,0.5
28,0.22247813621472112,0.9456935316499481,0.9457190641835007,1.240352302332671,0.6182405165456013,0.6528401658141637,0.6237580627747583,0.0001,0.5,21,0.1,0.02,0.5
29,0.18796817716616984,0.962123832583881,0.96778602798428,1.330098006805169,0.6214689265536724,0.6457481547367241,0.6235518542231835,0.0001,0.5,21,0.1,0.02,0.5
30,0.177390186668901,0.965755793842961,0.9724293748733908,1.451446258193115,0.6351896690879741,0.6596346811802725,0.6341318934343853,0.0001,0.5,21,0.1,0.02,0.5
