method,n,mean_inside_ratio,std_inside_ratio,median_inside_ratio,mean_outside_ratio,mean_mask_area_ratio,mean_activation_enrichment,median_activation_enrichment,mean_topk_inside_fraction,median_topk_inside_fraction
central_joint_band,4454,0.32373139996093,0.050058781552802134,0.33768752680355346,0.6762686000390701,0.16529814898967743,1.9584694829005709,2.0428995027382095,0.48235778316694844,0.48255929350852966
central_ellipse,4454,0.6007872140839697,0.07035556245132639,0.6195604876749403,0.39921278591603027,0.38215482234954834,1.5721041924034689,1.621228976396254,0.6566099599112523,0.6535778641700745
quantized_central,4454,0.44117667142714984,0.07476885342945169,0.45245539321217565,0.5588233285728502,0.28501762712201195,1.5504970261021607,1.5935717427959,0.45478923513146713,0.445784330368042
border,4454,0.17087519127889086,0.030012950308699514,0.16484562307702325,0.829124808721109,0.2805325388908386,0.6091100371578706,0.587616744398413,0.18927380102131952,0.19653178751468658
