epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.1945711884767445,0.46108612936700105,0.44512380463899826,1.1709393557278354,0.4826472962066182,0.4318366345866019,0.4497053981596014
2,0.9268036545539389,0.5821515046696645,0.5909096817448416,0.831370061785103,0.576271186440678,0.631213543256202,0.5887164564693558
3,0.8761097754792168,0.6067104808024905,0.6251656845756581,0.8159634318440263,0.6359967715899919,0.6716794378662863,0.6457271654951761
4,0.8336460888695032,0.6157039086821169,0.641967350718252,0.7832145410213286,0.6674737691686844,0.6790763563176728,0.6587254327090182
5,0.7902708109667952,0.6482186094776894,0.6679882904397136,0.7975133323111392,0.6642453591606134,0.6793555748279407,0.6577774923600072
6,0.7710922643702074,0.6528882739536492,0.6801022739474327,0.8112585995349314,0.6287328490718321,0.644204465276111,0.6203196164886441
7,0.7477501968082282,0.6540989277066759,0.6799432062007666,0.7765191116575467,0.6351896690879741,0.6744190272365047,0.649565670553689
8,0.7201283268813483,0.6777931511587686,0.7073651926207579,0.771925824029105,0.6868442292171105,0.6716718676574279,0.6662862684123181
9,0.7038155422619741,0.673469387755102,0.6997629543505249,0.7422612967560424,0.6763518966908797,0.7062941565598609,0.6855814533179195
10,0.6708455191624284,0.6964718090626081,0.7234520625123443,0.8647559625280778,0.5730427764326069,0.6337350177837078,0.5788378508049488
11,0.6378697016605329,0.7040816326530612,0.7326719849777521,0.7741695604947808,0.6690879741727199,0.6766737200922656,0.667012012358408
12,0.6157699662152148,0.7291594603943272,0.7589025561631064,0.8231021707292715,0.6715092816787732,0.6620046973970191,0.6584134664601373
13,0.5945361615546803,0.7265652023521273,0.7575656712030752,0.8470624524128831,0.5383373688458434,0.6271557987341485,0.548493992068144
14,0.5603470279761393,0.7481840193704601,0.7807713746215788,0.808946358835245,0.6359967715899919,0.6809479861492612,0.6486806436240301
15,0.5177757614770591,0.7684192320996195,0.7998449241622637,1.0200531672478876,0.609362389023406,0.6695428732703477,0.6327490203504692
16,0.4997938551712267,0.7826011760636458,0.8118022884306461,0.9925700525442759,0.6747376916868443,0.6788846678092597,0.6746452367078217
17,0.45188215097128337,0.8026634382566586,0.8340780064440144,0.8577325364531193,0.6674737691686844,0.6984309907050943,0.6765157547506521
18,0.4455743587963394,0.8088896575579384,0.8333610992324655,0.979372635014698,0.5633575464083939,0.6354137623861178,0.5728996640665432
19,0.38672848945256133,0.8329297820823245,0.8582534738076089,0.9169911719359536,0.6529459241323649,0.6862172401891107,0.6613290988228849
20,0.33885319879654163,0.8661362850224835,0.8879839425812509,1.0847950473824657,0.5649717514124294,0.6455747433917871,0.5763689093351799
21,0.33151095741422315,0.8668280871670703,0.8869234472274247,1.1538037981257696,0.5633575464083939,0.6421084061182316,0.5798811457635881
22,0.3028780067786033,0.8784157730888966,0.8989146850886189,1.1120025382299785,0.6682808716707022,0.6854078934363345,0.6610821520919191
23,0.2819106727348855,0.8941542718782428,0.9073467706519167,1.097543696466235,0.6448748991121872,0.6495874237088094,0.6417806136297647
24,0.25689133990392354,0.9029747492217226,0.9154525220538867,1.2188786980579513,0.678773204196933,0.6647695182444535,0.6622170260029954
25,0.2280343849610103,0.9168107921134555,0.9290545533007327,1.1926004227079432,0.6569814366424536,0.6771894883727451,0.6595579967136476
26,0.23279237097489383,0.9180214458664822,0.9246194936071387,1.3347908035762566,0.6335754640839386,0.6586293029833101,0.640809746846139
27,0.20093391981943592,0.9301279833967485,0.9423526936339288,1.1848735239738606,0.6311541565778854,0.6722216234021307,0.6414784954804669
28,0.1910270840240129,0.937046004842615,0.9474498344856812,1.2513062922919922,0.5972558514931396,0.6481935423504672,0.6116029749969161
29,0.17974848131092205,0.9367001037703216,0.9482713105116453,1.3547288371946082,0.6481033091202583,0.643796148088262,0.6393636325462152
30,0.1628023764986412,0.9460394327222414,0.9559735693751854,1.3170256279378865,0.6368038740920097,0.6633076148160648,0.6401820424025106
