epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.1497361292190842,0.4986163957108267,0.48311936279520323,0.9480279459887883,0.5415657788539144,0.5696543557772499,0.0001
2,0.8150352578351177,0.6200276720857835,0.6395745695437457,0.9007326944928866,0.6513317191283293,0.6300035738060673,0.0001
3,0.6837996395452342,0.686267727429955,0.7103255581174502,0.8503768232390224,0.6569814366424536,0.6554836009520226,0.0001
4,0.5675794239127278,0.7461086129367,0.7705265940932126,1.046432246091002,0.6214689265536724,0.6316072647444789,0.0001
5,0.38890729000549007,0.825492909028018,0.84764540280568,0.9926049312917911,0.5803066989507667,0.6493182491679559,0.0001
6,0.31423107676133283,0.8654444828778969,0.8791859319272101,1.057900111133096,0.6505246166263116,0.6561414608101493,0.0001
7,0.208979948703103,0.9204427533725354,0.924604434714877,1.2385888028471965,0.5988700564971752,0.6476239003109521,0.0001
8,0.1442363766857672,0.9472500864752681,0.9486389890388569,1.363190619580153,0.6497175141242938,0.6692107894861647,0.0001
9,0.08954450232387542,0.9640262884814943,0.9696521189700225,1.42709160848093,0.6174334140435835,0.6385176134644435,5e-05
10,0.044762794184732044,0.9832237979937738,0.9846142550602911,1.5445085578839368,0.6448748991121872,0.660734599408652,5e-05
11,0.022463844593759143,0.9936008301625735,0.99226345880119,1.6725947055755193,0.655367231638418,0.6658232158613945,5e-05
12,0.017520003789558546,0.9955032860601868,0.9945695896702826,1.6403303218883694,0.6368038740920097,0.6650993109994837,5e-05
13,0.020608442768488416,0.9930819785541335,0.9937041297610298,1.8536881258090336,0.6481033091202583,0.660497023009329,5e-05
14,0.019874574968049865,0.9936008301625735,0.9941038949628489,1.7463427159433118,0.6577885391444713,0.6840107662808246,5e-05
15,0.02206735037437361,0.9911795226565202,0.9929257492189356,2.032295352489935,0.6569814366424536,0.6523996937629286,2.5e-05
16,0.007722970803217073,0.9979245935662401,0.9983519802496756,1.8620758869334202,0.655367231638418,0.674714002911397,2.5e-05
17,0.00391140729049415,0.9987893462469734,0.9987708300893591,1.9527651778098325,0.6650524616626311,0.6714317645294627,2.5e-05
18,0.001547775143279308,0.9998270494638534,0.9998606075251597,2.019154255349066,0.6561743341404358,0.6721392882835071,2.5e-05
19,0.0035741092909732713,0.9982704946385333,0.9984036048900349,2.1462032121258146,0.6610169491525424,0.6652094069767742,2.5e-05
20,0.001516531416462823,0.9996540989277066,0.9997212868431291,2.2049218615938146,0.6755447941888619,0.6766393564230697,2.5e-05
21,0.004314888706731709,0.9986163957108267,0.9986755085192394,2.357388320554099,0.6464891041162227,0.6505474315407516,1.25e-05
22,0.0025473126636037895,0.99948114839156,0.9995162858131375,2.044936619660666,0.6408393866020985,0.6690055551898574,1.25e-05
23,0.0021212608660500757,0.99948114839156,0.9995384574468655,2.0501503540925334,0.6521388216303471,0.6693102127115439,1.25e-05
24,0.0006366797256586853,0.9998270494638534,0.9998903675924987,2.249813439556671,0.6513317191283293,0.6652945268324401,1.25e-05
25,0.00043882926469096864,1.0,1.0,2.217699792727308,0.655367231638418,0.6702021139120571,1.25e-05
26,0.00038024300506267917,1.0,1.0,2.2164050631108223,0.6416464891041163,0.6679040222150677,1.25e-05
27,0.00036831618531812525,1.0,1.0,2.2224542698913115,0.6376109765940274,0.6638501521902561,6.25e-06
28,0.0002407422611759543,1.0,1.0,2.3088517793412136,0.6537530266343826,0.662708209478193,6.25e-06
29,0.0006644532590326074,0.9998270494638534,0.9998605355890708,2.147014963920916,0.6368038740920097,0.6715890604581184,6.25e-06
30,0.00041499307080425336,0.9998270494638534,0.9998606075251597,2.382641303271455,0.6416464891041163,0.6585066634309522,6.25e-06
