epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.1068215157201404,0.4958491871324801,0.48862602629996454,0.9557953330660367,0.6246973365617433,0.5716576295322424,0.611588688803509,0.0001
2,0.8692155038555862,0.6022137668626772,0.6196737238168772,0.8619764919142457,0.6432606941081518,0.6299524379943675,0.6306174216428828,0.0001
3,0.7965908008477796,0.6281563472846766,0.6445970502928613,0.7968538979833601,0.6400322841000807,0.6535787418921457,0.64776001830861,0.0001
4,0.7405408794225933,0.6603251470079557,0.6823933533637253,0.8111627741481529,0.6004842615012107,0.6532457808011983,0.6200120540534013,0.0001
5,0.6768559856795803,0.6841923209961951,0.7165603498198578,0.7481146708094756,0.6351896690879741,0.6659790095450007,0.6467815921775224,0.0001
6,0.652737488871584,0.6992390176409546,0.7261355468477373,0.8132773010215035,0.6497175141242938,0.6692149690678121,0.65199491692252,0.0001
7,0.5972315242899945,0.7215496368038741,0.7498469806883457,0.8099444540543744,0.6505246166263116,0.6664245338143395,0.6421707101714681,0.0001
8,0.5422093189224493,0.7518159806295399,0.7832323762562672,0.8520248441613423,0.632768361581921,0.674831598395824,0.6418091705279358,0.0001
9,0.5068789059492759,0.7597717052922864,0.7931350865815284,0.8608869934053167,0.6747376916868443,0.669420947887272,0.6606093909865393,0.0001
10,0.4267265596467292,0.8059494984434452,0.8350186601633837,0.9251717114948861,0.6206618240516546,0.6610366165156999,0.6307648657350498,0.0001
11,0.3776027330170656,0.8272224143894846,0.8520815487354081,0.9768367889213215,0.6351896690879741,0.6640382853257414,0.6432714479185576,0.0001
12,0.32441169468589987,0.8557592528536838,0.8820813121663633,1.0049547063693391,0.6335754640839386,0.6633029383770862,0.6369129279832974,0.0001
13,0.30180250651508167,0.8701141473538568,0.8869522521367182,0.9981223972299293,0.6448748991121872,0.6433076039467861,0.6436886437499293,0.0001
14,0.2654625032804533,0.8910411622276029,0.905292900228754,1.099115964298868,0.6715092816787732,0.6832034964542283,0.6636121268285528,0.0001
15,0.2183059681205653,0.9092009685230025,0.9218304106091857,1.2476941373701342,0.6682808716707022,0.656728944340579,0.6526093294516496,0.0001
16,0.21680935472056698,0.9076444136976825,0.9204552692842436,1.1422360701647327,0.6747376916868443,0.6903548298595348,0.6687951566036308,0.0001
17,0.15914303574495892,0.9356624005534417,0.9463690812146215,1.3165911756113136,0.6472962066182405,0.6609094264083476,0.642024347486521,0.0001
18,0.18728425175925076,0.9228640608785887,0.9311384659531026,1.2124231652303314,0.6585956416464891,0.6773052253114817,0.6581930789256891,0.0001
19,0.1463517892248194,0.9405050155655482,0.9485290698246811,1.3095200728561918,0.6166263115415658,0.6538154111498717,0.6199061160843456,0.0001
20,0.15724714975565704,0.9394673123486683,0.9423421680515688,1.3669399742857884,0.6287328490718321,0.6592225373315979,0.6360676567573958,0.0001
21,0.12731620464190474,0.9494984434451746,0.9564507635230658,1.64148595931476,0.6707021791767555,0.6537750163951531,0.6381815656029814,0.0001
22,0.12151928160797684,0.9508820477343479,0.9597136796062244,1.6467406716772006,0.6537530266343826,0.6649288157396183,0.648175187781079,0.0001
23,0.12027393606311308,0.9489795918367347,0.9575389326468086,1.5189233875928914,0.6101694915254238,0.6459039467406859,0.6112551888923047,0.0001
24,0.13109014945793143,0.9484607402282947,0.9534371825824568,1.8015530177537138,0.6448748991121872,0.6038008516443165,0.6109883088541477,0.0001
25,0.10361823199116485,0.9600484261501211,0.9659666196902277,1.7270120944921001,0.6214689265536724,0.6170725432347559,0.628094034256187,0.0001
26,0.12401581901814679,0.9552058111380145,0.9568403554777005,1.5312049688306832,0.6569814366424536,0.6499561521706967,0.64141918812291,0.0001
27,0.08550569419972973,0.9666205465236942,0.9693107790348477,1.5633821937588552,0.648910411622276,0.6472447227753062,0.6451788408156263,0.0001
28,0.09949631642913288,0.9635074368730543,0.9643441689973209,1.656190803176795,0.6513317191283293,0.6661036860603635,0.64853134825727,0.0001
29,0.07225878628641522,0.9726738152888273,0.9752001602005003,1.7138272685098783,0.6053268765133172,0.6638321489517742,0.6216301704540718,0.0001
30,0.09135381052137968,0.9617779315115876,0.9671923625355163,1.757164846320995,0.6085552865213882,0.6390042698323691,0.6096804304516087,0.0001
