epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode,roi_inversion_for_mask_generation
1,1.1000385337822662,0.4963680387409201,0.48976881003276845,1.0205180863395056,0.5682001614205004,0.5060215333178479,0.5246882156793599,0.0001,0.5,blur,True
2,0.8885468859566986,0.5847457627118644,0.5999562452362875,0.823924729427664,0.6109765940274415,0.6373030454436537,0.6216465764479614,0.0001,0.5,blur,True
3,0.8232983419409429,0.6151850570736769,0.6385731958178512,0.8849514338448704,0.6230831315577078,0.6593705489299408,0.6335302292540063,0.0001,0.5,blur,True
4,0.7723804134186145,0.6298858526461432,0.660600164830113,0.790045490949937,0.639225181598063,0.6386825134046902,0.628678139467546,0.0001,0.5,blur,True
5,0.7167640044094575,0.6589415427187825,0.6917211680708516,0.8124033620128523,0.6513317191283293,0.6466267758229154,0.6315099251847545,0.0001,0.5,blur,True
6,0.7106600165861942,0.673988239363542,0.7046619931877711,0.7624091181281692,0.6594027441485069,0.6596796958770232,0.6426668085446163,0.0001,0.5,blur,True
7,0.6699930029482793,0.6883431338637149,0.7222912772874642,0.8276243778464292,0.6674737691686844,0.6849283337305969,0.6645588829309927,0.0001,0.5,blur,True
8,0.621832280242909,0.7073676928398478,0.7450289432028157,0.9391717133717349,0.6739305891848265,0.6570048881824522,0.6466968638511852,0.0001,0.5,blur,True
9,0.5923135541521196,0.7239709443099274,0.7613230942524426,0.8595449134310568,0.6715092816787732,0.672510754841308,0.6618412137040057,0.0001,0.5,blur,True
10,0.5535370666998887,0.7464545140089934,0.7790498449107228,0.9466963153726349,0.6101694915254238,0.6681353163442426,0.6249162277807437,0.0001,0.5,blur,True
11,0.5156722561076453,0.7571774472500865,0.7949824214465271,0.9792821580262988,0.6117836965294592,0.6495187127825799,0.6235955334104774,0.0001,0.5,blur,True
12,0.4632281650157999,0.7869249394673123,0.8161524761634903,0.9087972243626913,0.6408393866020985,0.6713824664195502,0.646861980485474,0.0001,0.5,blur,True
13,0.43556507589473975,0.8021445866482186,0.8305039103700048,0.9217091462754549,0.6464891041162227,0.6773465408513532,0.652964448149938,0.0001,0.5,blur,True
14,0.3722843354144586,0.8329297820823245,0.8601392758442852,1.0326641640709329,0.632768361581921,0.6498093192522857,0.627185303708013,0.0001,0.5,blur,True
15,0.3567983887004671,0.8441715669318575,0.8676964175215609,1.0767960641006966,0.615819209039548,0.6596401738623376,0.6255318333690315,0.0001,0.5,blur,True
16,0.3037398236947709,0.8690764441369768,0.8891790768254708,1.1463647235043593,0.645682001614205,0.6678602706301034,0.6441538453177778,0.0001,0.5,blur,True
17,0.2523172860871711,0.8867173988239364,0.9071483633807247,1.3309433275263958,0.6101694915254238,0.6421506430796484,0.6223796104466602,0.0001,0.5,blur,True
18,0.25968232590077617,0.8846419923901764,0.9020827881772799,1.2823620048908575,0.5956416464891041,0.622596220385047,0.595155590929899,0.0001,0.5,blur,True
19,0.21931608252559762,0.9038395019024559,0.9188633115847011,1.2784661869063696,0.645682001614205,0.6646028975223657,0.6452873461924813,0.0001,0.5,blur,True
20,0.191287215453109,0.9219993081978554,0.9334452277578966,1.3742905813025024,0.5940274414850686,0.6300172260377064,0.603388988611637,0.0001,0.5,blur,True
21,0.19266323559179474,0.9162919405050156,0.9284981882309318,1.2828877570650288,0.5544794188861986,0.6248217442716767,0.5723134065141393,0.0001,0.5,blur,True
22,0.19440279194820365,0.9202698028363888,0.9315414754715983,1.5646308412395051,0.6715092816787732,0.6548804104824695,0.6463456775148376,0.0001,0.5,blur,True
23,0.15654957057977117,0.9391214112763749,0.9481669793668482,1.428327637360017,0.6117836965294592,0.6447880649278334,0.6216974273235745,0.0001,0.5,blur,True
24,0.16008872525274898,0.935489450017295,0.9408203299657142,1.4006941579252217,0.6263115415657788,0.6438062051693532,0.6291467193206222,0.0001,0.5,blur,True
25,0.1489895585423773,0.9394673123486683,0.9447660539500827,1.5446571503210396,0.6569814366424536,0.6588948340222464,0.6482058859861386,0.0001,0.5,blur,True
26,0.1334982799362573,0.9451746800415082,0.9544330500631484,1.4590539970255552,0.6416464891041163,0.6632483867338486,0.6412449965490838,0.0001,0.5,blur,True
27,0.109603710694542,0.9567623659633345,0.9651906928776428,1.4628158464089722,0.5835351089588378,0.6467654349663728,0.5986765185269413,0.0001,0.5,blur,True
28,0.10084396852568547,0.9572812175717744,0.9642652218281114,1.999718049476472,0.6464891041162227,0.6291855011785632,0.6155850946645784,0.0001,0.5,blur,True
29,0.16431107795642658,0.937046004842615,0.9416038708505683,1.5843661539467042,0.5803066989507667,0.6307683306593199,0.5948956046961785,0.0001,0.5,blur,True
30,0.11096174748268446,0.9574541681079212,0.9647467298222047,1.461186371403923,0.6545601291364003,0.663729217543399,0.649786312830712,0.0001,0.5,blur,True
