epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.2256795830608442,0.4443099273607748,0.42672487622786204,0.992691554636018,0.5786924939467313,0.528482095793968,0.5298887760204486
2,0.9716762458684081,0.5646835005188516,0.5802053117665266,0.8822573216770598,0.5230024213075061,0.5919112411150402,0.5293176289159911
3,0.9126228046488282,0.5805949498443446,0.6046397299678835,0.9366702640422995,0.43664245359160614,0.5345322311270908,0.3827586044870112
4,0.8813685439434328,0.5937391905914908,0.6187900978379266,0.8203276771331965,0.5948345439870864,0.6422958152351131,0.6037230254205541
5,0.8355401445041448,0.6144932549290902,0.6430807278381363,0.8736829716601576,0.6351896690879741,0.6425908852239713,0.632201039975211
6,0.8162738113136057,0.6285022483569699,0.6560726621263498,0.8001129033608563,0.6303470540758677,0.6375697863794438,0.6108186701351725
7,0.7904700533044531,0.6376686267727429,0.6701029444230339,0.8018593849490535,0.6416464891041163,0.6826746145398244,0.6502252996533818
8,0.7681776235052629,0.6435489450017295,0.6733780251625413,0.8031333826491627,0.6779661016949152,0.6581219890806851,0.6436557193082444
9,0.7563245244495321,0.6542718782428225,0.6787775461698017,0.8194903629116848,0.6707021791767555,0.6650568494434562,0.6481108289493046
10,0.7294009966341761,0.6691456243514355,0.6967918558283731,0.7680223945170924,0.6626311541565779,0.696357235459822,0.668015739611916
11,0.7058204839782026,0.672950536146662,0.7073833918996102,0.8703967135486655,0.5867635189669088,0.640354658005611,0.588705482292019
12,0.6787266580980483,0.687305430646835,0.7270823840479241,0.7940895929779109,0.6610169491525424,0.6627463166435525,0.6546449029784217
13,0.6655733392406318,0.6943964026288482,0.72938105853252,0.7830465240810914,0.6343825665859564,0.6722400789794511,0.6498050379784427
14,0.6329930270315155,0.7116914562435144,0.7499943950377054,0.8075656349337683,0.655367231638418,0.6727859209735507,0.6538481512639095
15,0.6026873294003968,0.7225873400207541,0.7605406856905572,0.8305420856223911,0.6295399515738499,0.6775780756240504,0.6386575553379846
16,0.595897389050009,0.7281217571774472,0.7655270823809283,0.8351870162472056,0.6908797417271993,0.6905196655196655,0.676212735938321
17,0.5754662598653483,0.736423382912487,0.7743995452265966,0.8747948493572192,0.655367231638418,0.6841941863138813,0.6627228499029618
18,0.5657346578764176,0.7445520581113801,0.7795876466568841,0.891011470594496,0.5746569814366425,0.630044718428606,0.5846382889663008
19,0.5027383839003808,0.7661708751297129,0.8040379970820462,0.8674531330149352,0.6545601291364003,0.6920906110207017,0.6618654413380756
20,0.48852155320388413,0.7787962642684192,0.8154977062276296,0.9536495623678303,0.6303470540758677,0.6679747532882038,0.6450013127079737
21,0.4603792820239171,0.7959183673469388,0.8286702195287429,1.1812321974376527,0.48184019370460046,0.571549036467293,0.47178286256956087
22,0.4374611108310675,0.8104462123832584,0.8416604324898549,0.9765054654421792,0.6674737691686844,0.6752117466474028,0.670028115986006
23,0.41285117652521053,0.8209961950882048,0.8505552870088456,0.9903286455851412,0.609362389023406,0.6418210878382019,0.6117825580480011
24,0.38282053160080076,0.8370805949498443,0.8643745414234253,1.3720891266912565,0.6238902340597255,0.6396174789674213,0.6209521482810437
25,0.3658721686339366,0.850051885160844,0.8739556545430766,1.0909820334448657,0.6214689265536724,0.6571114554794093,0.6314461840544595
26,0.308529113560022,0.8763403666551366,0.8980215801930325,1.1981282404287854,0.5988700564971752,0.6391694654288962,0.6110686811227758
27,0.2876423443483746,0.8865444482877897,0.9030244543964681,1.2187418122620726,0.5851493139628733,0.629276067805033,0.5953298864527515
28,0.2797783710684175,0.8861985472154964,0.9073192359961546,1.27073345576349,0.6359967715899919,0.6503170307412648,0.6321982345182521
29,0.2616523649754292,0.901245243860256,0.9178235131614514,1.1209636836276977,0.6166263115415658,0.638987116447343,0.6168813899726229
30,0.25768186489601497,0.9071255620892424,0.9191231331256811,1.1804656940783362,0.6271186440677966,0.6328335252850577,0.6236790883524171
