epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.2147572041382553,0.436527153234175,0.42320033232970944,1.0250826512160467,0.6053268765133172,0.5502678050646417,0.5398714473437047
2,0.9622003481240472,0.5600138360428918,0.5711084072881072,0.8732532726554163,0.5649717514124294,0.6259270059784223,0.576297331863552
3,0.9141582065039298,0.5856105153925977,0.6028397387917901,0.872555563438314,0.4891041162227603,0.5831392799692031,0.47987290320002585
4,0.8626879178005615,0.6032514700795573,0.6300760756090847,0.8123035995685063,0.6142050040355125,0.6396754949534414,0.6179678831602777
5,0.8380435192638597,0.6179522656520235,0.6384255604660337,0.839217547570822,0.6602098466505246,0.6604040913779489,0.6445998553004639
6,0.8109313442875299,0.6376686267727429,0.6651628574213747,0.8097471631612385,0.6408393866020985,0.6445409757177482,0.6249692113372044
7,0.7877081809304487,0.6304047042545832,0.6577444668659178,0.8200244322431194,0.648910411622276,0.6623946758735856,0.6496331765828733
8,0.7643344906715734,0.6580767900380491,0.6865530025101985,0.8284931359654766,0.6674737691686844,0.6448901033497619,0.630887764814112
9,0.7482430202991481,0.6662054652369422,0.694528516086488,0.7748390511700566,0.6852300242130751,0.6770116414903128,0.6680084047422997
10,0.7161799609475547,0.6791767554479419,0.7071979041949161,0.7853914972656287,0.6343825665859564,0.6765467368720477,0.6411978126606773
11,0.699487150540116,0.676582497405742,0.706924446499248,0.8115157508580698,0.6343825665859564,0.6671569433999991,0.64405952090258
12,0.66916463592398,0.6916291940505016,0.7277647190242342,0.7595037372964731,0.682001614205004,0.7015699946646355,0.6856861993901276
13,0.6466559138688939,0.7011414735385679,0.7388180707549841,0.7242653144521998,0.6190476190476191,0.6814063670282182,0.631406578639635
14,0.6290964499883939,0.7078865444482878,0.7426759460683556,0.7956029788874348,0.6351896690879741,0.6744838622868067,0.6404846463070543
15,0.6029838789750531,0.7212037357315808,0.7563173883043157,0.9202141453654079,0.6255044390637611,0.64608872624023,0.6335800821467679
16,0.5932705455670015,0.7301971636112072,0.7689110326830669,0.8507588108019832,0.6844229217110573,0.6879239860687869,0.6726316914875431
17,0.5417322552624725,0.7554479418886199,0.7919048482898013,1.010796006068383,0.6521388216303471,0.6617454194716841,0.6431354179777692
18,0.535801844690053,0.7599446558284331,0.7941177733164053,0.9051238379235995,0.5932203389830508,0.6482472204836719,0.6048219883494748
19,0.4816898780065356,0.7862331373227257,0.820290526884234,0.8735481530211451,0.6432606941081518,0.6751474410673335,0.6544732591253348
20,0.45567454564163157,0.7986855759252853,0.8338429899985549,0.9951385152830627,0.5940274414850686,0.6437877171346577,0.6109694197602287
21,0.42802588663807134,0.8154617779315115,0.8440207165561041,1.0812088041367118,0.5278450363196125,0.6095371004921999,0.5315004513251885
22,0.406023433482882,0.8284330681425113,0.8541858244738106,0.9478611607071467,0.6602098466505246,0.6798033882165073,0.6567660703648251
23,0.38032525910798426,0.8443445174680041,0.8678464473369398,1.077658763472547,0.5803066989507667,0.6306782750929252,0.5886998763907129
24,0.3451962900698824,0.8573158076790038,0.8804191553514935,1.5906801739943615,0.615819209039548,0.5924836002977344,0.6053452665274099
25,0.31165550944122505,0.8784157730888966,0.8983616031278407,1.1227742771259521,0.6077481840193705,0.651641764526968,0.6155718934350672
26,0.2863207182894319,0.8856796956070564,0.9047488154809414,1.190223086953067,0.6174334140435835,0.6690502725900079,0.6325215609917616
27,0.26270591686291295,0.899169837426496,0.9174607832687706,1.1937521595306413,0.6351896690879741,0.6542896695867667,0.6326063391771004
28,0.26283258325586223,0.901764095468696,0.9180019468267682,1.2631526755603502,0.6545601291364003,0.6711978152984281,0.6470390570864639
29,0.23566109825515832,0.9085091663784157,0.9254720677270327,1.2907527166330786,0.6190476190476191,0.6408018697456596,0.6162294655733088
30,0.21443562065413854,0.9206157039086821,0.9344377487991593,1.368771138019962,0.6198547215496368,0.6544268190851219,0.6214463729227516
