epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode,roi_inversion_for_mask_generation
1,1.1054280285025417,0.4961950882047734,0.49382184879531976,1.0100800454664653,0.5375302663438256,0.506966936747433,0.5128592501179564,0.0001,0.75,blur,False
2,0.889352113101277,0.5797301971636112,0.60479219507542,0.9196928202672963,0.5278450363196125,0.5682374128114058,0.5359183019518651,0.0001,0.75,blur,False
3,0.8282738099127894,0.6080940850916637,0.6381484344570676,0.8808877162869848,0.6166263115415658,0.6592776659216064,0.6252364467419574,0.0001,0.75,blur,False
4,0.7921136119340126,0.6174334140435835,0.6523269670131951,0.7990750648303798,0.6230831315577078,0.6478498062198532,0.6245872503520823,0.0001,0.75,blur,False
5,0.745563647690136,0.6444136976824628,0.6782028924567837,0.8605523065899148,0.6497175141242938,0.6519081612937621,0.6474794899422635,0.0001,0.75,blur,False
6,0.7153238023040782,0.6705292286406088,0.7022730959783013,0.7957183763661435,0.6594027441485069,0.652606904009219,0.647880555960079,0.0001,0.75,blur,False
7,0.6790340503001865,0.6833275683154618,0.7169062918806727,0.8282732275871618,0.6303470540758677,0.6829733231367094,0.6459087590848845,0.0001,0.75,blur,False
8,0.6302671374199672,0.699584918713248,0.7398933970424595,0.8656778489393607,0.6731234866828087,0.6649356410423055,0.651104038823132,0.0001,0.75,blur,False
9,0.5756566039998817,0.7295053614666206,0.7700591061726463,0.8971527629412404,0.6376109765940274,0.6336035721602726,0.6274780117776048,0.0001,0.75,blur,False
10,0.558627784901612,0.7386717398823937,0.7688218216979237,0.9234596036969894,0.6174334140435835,0.6700177440307223,0.6340750804406963,0.0001,0.75,blur,False
11,0.5075330791878313,0.7639225181598063,0.7941238584790454,0.9512210015427017,0.6295399515738499,0.641397106505372,0.6265191346498122,0.0001,0.75,blur,False
12,0.45561755984114427,0.7952265652023521,0.8252285520728873,0.9440426090920135,0.655367231638418,0.6625676065949195,0.6445569178509237,0.0001,0.75,blur,False
13,0.40939653725390696,0.8135593220338984,0.8457213649034534,1.016497997264885,0.606133979015335,0.6587573624266457,0.6240112604961888,0.0001,0.75,blur,False
14,0.3684547174398522,0.8287789692148045,0.8578429859655902,1.0010312759077673,0.6497175141242938,0.6800085868601752,0.650166525191842,0.0001,0.75,blur,False
15,0.3091386710507818,0.8616395710826703,0.8857413875326076,1.1476726685925007,0.5899919289749799,0.6448073711420422,0.6088406625127022,0.0001,0.75,blur,False
16,0.32239641728790025,0.8588723625043237,0.8797078402237674,1.0873602698703655,0.6351896690879741,0.6457616595947236,0.6314360547568654,0.0001,0.75,blur,False
17,0.27288098288078244,0.8855067450709098,0.8992540086130025,1.236588283579517,0.6166263115415658,0.6523812604585011,0.6279815540424007,0.0001,0.75,blur,False
18,0.22443187214235705,0.9066067104808024,0.9211340580836682,1.496103995480395,0.546408393866021,0.5961937224371243,0.5424682718901318,0.0001,0.75,blur,False
19,0.2372624256111107,0.9010722933241093,0.9148618584227382,1.2364172616656313,0.6505246166263116,0.6555154558485922,0.6370745014020784,0.0001,0.75,blur,False
20,0.1885240036041957,0.9202698028363888,0.9300212907727705,1.1972703870214503,0.615819209039548,0.6486328899289373,0.6203648107357738,0.0001,0.75,blur,False
21,0.1738212811597921,0.9254583189207887,0.9341953713166596,1.3382744546182892,0.5843422114608555,0.6507922766801222,0.6025218556068411,0.0001,0.75,blur,False
22,0.18162555061957233,0.9290902801798686,0.9381358821543617,1.4041794152709388,0.6529459241323649,0.6390054970116625,0.6295750983258228,0.0001,0.75,blur,False
23,0.16620528278340832,0.9330681425112418,0.942076872258734,1.2987338141677263,0.606133979015335,0.6426116369530582,0.6068356028355102,0.0001,0.75,blur,False
24,0.13591128548147208,0.9451746800415082,0.9550054804813211,1.5330997340507426,0.6481033091202583,0.6458946261543369,0.6313178044095781,0.0001,0.75,blur,False
25,0.12468321436876963,0.9500172950536147,0.9577903261429499,1.651402710497235,0.6166263115415658,0.6302265605663129,0.6097321044307074,0.0001,0.75,blur,False
26,0.1302319049555905,0.9527845036319612,0.9577044501532084,1.534667448351901,0.5948345439870864,0.6472457863279522,0.6133536922666382,0.0001,0.75,blur,False
27,0.15297181984803995,0.9377378069872017,0.9430775831867606,1.311697978769896,0.6238902340597255,0.6641312475986991,0.6323213705101252,0.0001,0.75,blur,False
28,0.11666179357215102,0.9536492563126946,0.9620408940158857,1.5599544689576408,0.609362389023406,0.6387664652429035,0.6181342319865176,0.0001,0.75,blur,False
29,0.10894048797956142,0.9548599100657212,0.9618259040938615,1.6600107052592716,0.6230831315577078,0.6351823331537529,0.6170989971062174,0.0001,0.75,blur,False
30,0.11336853650141802,0.9546869595295745,0.9613005685514763,1.5344028437541704,0.642453591606134,0.6730821426260742,0.6431480934555353,0.0001,0.75,blur,False
