epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.094204112263709,0.5461777931511588,0.42300556767017394,1.0112898341583763,0.5851493139628733,0.5474490862902818,0.0001
2,0.8219149385674608,0.6551366309235559,0.6035003808191386,0.8380873671359261,0.6642453591606134,0.6017423679379373,0.0001
3,0.6387854183948976,0.7371151850570736,0.7246083250577647,0.8351805985839834,0.6698950766747377,0.6511250104555083,0.0001
4,0.4915942528495447,0.8078519543410585,0.8052116908702933,0.9279273773894567,0.6497175141242938,0.6643130061826513,0.0001
5,0.339675754520028,0.8663092355586303,0.8640750092452907,1.1637140779941673,0.6214689265536724,0.6633900268172568,0.0001
6,0.2219834991452738,0.9199239017640954,0.9176680070763412,1.1510228803313673,0.6513317191283293,0.6605398564562193,0.0001
7,0.1708346457088212,0.9379107575233483,0.9380817035414895,1.3328263377642997,0.6505246166263116,0.6737890099262561,0.0001
8,0.1334095223931952,0.9520927014873746,0.9524462415819913,1.160835543306149,0.6690879741727199,0.6699663707046607,0.0001
9,0.09558812626829195,0.9643721895537876,0.9646005971865046,1.5112744009271084,0.6642453591606134,0.6608341284197831,5e-05
10,0.03745993281313869,0.9878934624697336,0.9878422841935983,1.410647279485952,0.6674737691686844,0.6784897838122899,5e-05
11,0.01025049184189569,0.9974057419578001,0.997662467673759,1.7370610526245,0.6464891041162227,0.6567224363957027,5e-05
12,0.015876759080407078,0.9953303355240402,0.9958796269640076,1.643108264152998,0.6319612590799032,0.6650072139107926,5e-05
13,0.022286953017890673,0.9939467312348669,0.9947336716921992,1.736527524281164,0.6376109765940274,0.6737542121608188,5e-05
14,0.015147031097797832,0.9958491871324802,0.9954385832077193,1.6764020640357933,0.6279257465698144,0.6621435241827329,5e-05
15,0.03014591017685173,0.9892770667589069,0.9871575023582964,1.6257146271223788,0.6537530266343826,0.6736780033822877,2.5e-05
16,0.006585992330951873,0.9982704946385333,0.998323578254347,1.6524654471941587,0.6602098466505246,0.6790245759593586,2.5e-05
17,0.005263710876869865,0.99896229678312,0.9989951588305864,1.655951775183497,0.655367231638418,0.66806668134323,2.5e-05
18,0.0025074359595314575,0.9996540989277066,0.9996414629920736,1.7765260657492523,0.6585956416464891,0.6732690504626346,2.5e-05
19,0.0012437816907010643,1.0,1.0,1.9353239305612058,0.6440677966101694,0.6661725065463691,2.5e-05
20,0.005517939142838982,0.9984434451746801,0.9974796626315232,1.7582141169143166,0.6594027441485069,0.6759497221094668,2.5e-05
21,0.003975600524865053,0.9991352473192667,0.9993026779453544,2.0362757819195827,0.6650524616626311,0.6616680192707616,1.25e-05
22,0.003388393490300333,0.99896229678312,0.999119396728758,1.960526066118907,0.6626311541565779,0.6750451262582526,1.25e-05
23,0.0021784630596835,0.9996540989277066,0.999605436060585,1.9405429149264526,0.6481033091202583,0.6644006337160769,1.25e-05
24,0.001285911181550803,0.99948114839156,0.9995755029487515,2.0276113235969713,0.6577885391444713,0.6737036588324447,1.25e-05
25,0.0005584527610992626,1.0,1.0,2.0466945003207,0.6594027441485069,0.6710655566707173,1.25e-05
26,0.003069700441113265,0.9986163957108267,0.9974889225778656,2.038650763032415,0.6594027441485069,0.6784952141147935,1.25e-05
27,0.00035792901014723016,1.0,1.0,2.053257791341987,0.6682808716707022,0.680227464002729,6.25e-06
28,0.0005449245949895091,0.9998270494638534,0.9998387619377125,2.0035920829765494,0.6610169491525424,0.6753445749258729,6.25e-06
29,0.00029248375867339316,1.0,1.0,2.0557836050151144,0.6537530266343826,0.6790530067087488,6.25e-06
30,0.000994489076177279,0.9996540989277066,0.9997209990985351,2.086722227398237,0.6610169491525424,0.6775012025808034,6.25e-06
