epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,0.5079905969055002,0.7793151158768592,0.8173190150012595,0.9393477308908906,0.655367231638418,0.6684433695759724,0.648932005934543,5e-05
2,0.37472106113808246,0.8441715669318575,0.8728773387091122,1.0180559352437175,0.6440677966101694,0.6649525075678235,0.6393751926933923,5e-05
3,0.26685309111659644,0.8983050847457628,0.9184644956012379,1.126095592903456,0.645682001614205,0.6781853325550637,0.6506226336881876,5e-05
4,0.16662158096220123,0.9463853337945347,0.9572796789425851,1.436039358413537,0.6400322841000807,0.6522153601620092,0.6296791380825537,5e-05
5,0.12477721853245505,0.9636803874092009,0.970880241974424,1.4148171513106094,0.6513317191283293,0.6544318594945502,0.6359570861131815,5e-05
6,0.12053350530067393,0.9624697336561744,0.9697436100424778,1.4709471704211323,0.642453591606134,0.6587981863265286,0.6382949870858179,5e-05
7,0.0928219066451512,0.9768246281563473,0.9806821671778847,1.4658037048371402,0.612590799031477,0.6601990080855755,0.6204411631245026,5e-05
8,0.07575695260338658,0.9832237979937738,0.9860104600124803,1.5335883495906748,0.6464891041162227,0.6668370972884599,0.6433246803898568,5e-05
9,0.10251612010447676,0.9707713593912141,0.9723753830647223,1.6220385242761672,0.6271186440677966,0.6422039924175644,0.6235732620530627,5e-05
10,0.059195709576175023,0.9887582151504669,0.9907692517183951,1.4814191412021307,0.6271186440677966,0.6576945191915076,0.6352386397422889,5e-05
11,0.05467382444385136,0.9889311656866137,0.9904395847245177,1.56801169023483,0.6037126715092817,0.6399112360322737,0.6124930018186086,5e-05
12,0.07477347293320369,0.9789000345901072,0.9824850529642456,1.520182249651165,0.6432606941081518,0.6580285463350102,0.6382564896587221,5e-05
13,0.06971998352445315,0.9828778969214804,0.984740153493477,1.8044485956358274,0.5786924939467313,0.6302143317424426,0.5985818029186194,5e-05
14,0.049029692048764235,0.9891041162227603,0.9909659578840394,1.6953091625969097,0.6569814366424536,0.6461541939586616,0.6346497692458045,5e-05
15,0.04581383731575707,0.988239363542027,0.9904964152853395,1.9325429966389123,0.6255044390637611,0.6220921050325469,0.6075629176305605,5e-05
