epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode
1,0.6461073449741636,0.6893808370805949,0.7220083545827956,0.8082036898081297,0.6464891041162227,0.6588945240473759,0.6465100322252669,5e-05,0.75,blur
2,0.5624278511546632,0.7310619162919405,0.7667744995519812,0.7947292316455433,0.678773204196933,0.6927705392273344,0.6794111119614287,5e-05,0.75,blur
3,0.5346617456622208,0.7478381182981667,0.7838500016509902,0.823072292313545,0.6690879741727199,0.6910852547430949,0.672666163990213,5e-05,0.75,blur
4,0.48738508195519986,0.7723970944309927,0.8118814091807531,0.8073661556952995,0.639225181598063,0.6781002971509424,0.6512130001267711,5e-05,0.75,blur
5,0.43019559061968465,0.8073331027326185,0.8401089360886242,0.9213118156759463,0.6763518966908797,0.6808759295515832,0.674821488766848,5e-05,0.75,blur
6,0.37194889041120643,0.8312002767208578,0.8612946097520868,0.9746729260351121,0.6610169491525424,0.6693074244529155,0.6576919929218434,5e-05,0.75,blur
7,0.3363645647799668,0.8460740228294708,0.8727844744934341,0.9976483189212978,0.6020984665052461,0.6634992214611334,0.6217810508764122,5e-05,0.75,blur
8,0.2749084235655111,0.8744379107575233,0.898578219602307,1.0842990892502549,0.6658595641646489,0.6823190970567363,0.6646817281177695,5e-05,0.75,blur
9,0.2304911771689328,0.9038395019024559,0.9209460678354127,1.0584882998341414,0.6642453591606134,0.6910468757129199,0.6656627722606254,5e-05,0.75,blur
10,0.19283747614017616,0.914562435143549,0.9282551971604154,1.178926871706152,0.6359967715899919,0.6787461622354656,0.6436780363807121,5e-05,0.75,blur
11,0.1552262964685177,0.9327222414389484,0.9457064620502342,1.1934676715101418,0.6335754640839386,0.6730330553198629,0.6448915013378966,5e-05,0.75,blur
12,0.13685116597777602,0.9408509166378416,0.9523158164944782,1.2529782075570224,0.6529459241323649,0.6685431533184444,0.6492442688914636,5e-05,0.75,blur
13,0.12444150918693289,0.9505361466620547,0.9600251990776609,1.2162598626112342,0.6497175141242938,0.6906194637224596,0.6595636951119027,5e-05,0.75,blur
14,0.13333736096864127,0.9500172950536147,0.9564096244860284,1.4303961311308389,0.6529459241323649,0.6722852205563861,0.6519674896688091,5e-05,0.75,blur
15,0.09753671155138176,0.9572812175717744,0.9648745776634027,1.3897863288768555,0.6384180790960452,0.6738624271993562,0.6464204333874675,5e-05,0.75,blur
