epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.2564389699859293,0.4579730197163611,0.4410017991808237,1.0242541808553616,0.5076674737691687,0.5558697457254679,0.5162488354584691,0.0001
2,0.9923602598124724,0.5562089242476652,0.5715704854911889,0.8984196724863108,0.6069410815173527,0.5918631024502152,0.5708677891876767,0.0001
3,0.9126190706498335,0.585437564856451,0.6026485421950437,0.897012380994321,0.5907990314769975,0.6104777169127062,0.6002031224183545,0.0001
4,0.8462562512272054,0.6048080249048772,0.6319269072595525,0.8435984188044493,0.6521388216303471,0.664975356413154,0.6486203354325332,0.0001
5,0.8158533395493777,0.6302317537184365,0.6528505605513479,0.8211290128257159,0.6497175141242938,0.6425706704195032,0.6410161124487508,0.0001
6,0.7985359959780752,0.6342096160498097,0.657918648203085,0.900842493135014,0.58272800645682,0.564815561118286,0.5525588170961522,0.0001
7,0.7571201841260415,0.6540989277066759,0.6841348197751629,0.8736290109390001,0.6174334140435835,0.6562237382184499,0.634309860950574,0.0001
8,0.7279666318067539,0.6624005534417157,0.6958199831493703,0.8260680638342679,0.648910411622276,0.6452912962630981,0.6321942208547776,5e-05
9,0.6350125548770222,0.7058111380145279,0.7376214536002731,0.7794872576987346,0.6949152542372882,0.7027219292297647,0.6910572132962113,5e-05
10,0.596224253567836,0.7217225873400207,0.757566076512258,0.7997830146094448,0.6900726392251816,0.6914381464537597,0.6824064952348879,5e-05
11,0.5669845727184158,0.7429955032860602,0.7800417744906153,0.8311458504992532,0.678773204196933,0.6878473150853184,0.6715981229361387,5e-05
12,0.5307203995617749,0.7649602213766863,0.8000585077610675,0.8444782155604594,0.672316384180791,0.6808820715608117,0.6641693707516921,5e-05
13,0.4877315007531718,0.7791421653407126,0.8144459983112377,0.9117607432215881,0.6521388216303471,0.6504934572115849,0.6523536758437539,2.5e-05
14,0.39420461370485294,0.8268765133171913,0.8564880523713179,0.9397356210362512,0.6384180790960452,0.6786425707933283,0.652640587833403,2.5e-05
15,0.343419823078731,0.850051885160844,0.8773107799639002,1.0091689813098805,0.6368038740920097,0.6786380425982822,0.6442221890078637,2.5e-05
16,0.3017286137203799,0.8706329989622967,0.8959201655320399,0.998143800971088,0.6400322841000807,0.6729745307559918,0.6454590315623543,2.5e-05
17,0.2560476478150442,0.8936354202698028,0.9124420747314292,1.1959686924374924,0.5899919289749799,0.64122444690182,0.597989177234662,1.25e-05
18,0.21363825297180197,0.9197509512279488,0.9357331632091336,1.134174445149638,0.6432606941081518,0.6786491051060268,0.650091744585042,1.25e-05
19,0.17208863631847376,0.9417156693185749,0.953395855531949,1.2254361583604774,0.6602098466505246,0.6669622597654079,0.6481697659594103,1.25e-05
20,0.14047081417054832,0.9520927014873746,0.9618247732393865,1.3048628182441528,0.6416464891041163,0.6755975126069439,0.6475603544146734,1.25e-05
21,0.13845438608640537,0.948806641300588,0.9586697065065615,1.3592371719507454,0.6707021791767555,0.6750738359815828,0.6609505180256589,6.25e-06
22,0.10813793369686503,0.965755793842961,0.9720151008144298,1.3359341085912637,0.6384180790960452,0.670587520501383,0.641828158539565,6.25e-06
23,0.09390334457880636,0.9731926668972674,0.9784844616343802,1.4054706900582874,0.6464891041162227,0.6687616743669569,0.644725392641878,6.25e-06
24,0.0913311263756255,0.9721549636803875,0.9776386031996882,1.418160792413117,0.648910411622276,0.6743159527798002,0.6489373980080797,6.25e-06
25,0.08206693543460664,0.9768246281563473,0.9808670778077067,1.4867118274606779,0.6634382566585957,0.669147700856888,0.652306137304976,3.125e-06
26,0.0692111428792469,0.9833967485299204,0.9869227022647138,1.4356834533186829,0.6464891041162227,0.6705935492077355,0.6469079337593658,3.125e-06
27,0.0734197530430889,0.9811483915600139,0.9844583968552969,1.4725030627632545,0.6505246166263116,0.6743723006686498,0.6493476253493051,3.125e-06
28,0.06338261858984169,0.9842615012106537,0.9862706092215776,1.5454981661093112,0.6432606941081518,0.6665542759376872,0.6428793594369914,3.125e-06
29,0.0623647710178682,0.9852992044275337,0.9884139196491508,1.4588303183502198,0.639225181598063,0.6672851362765094,0.6406197142783107,1.5625e-06
30,0.05536113117424611,0.9887582151504669,0.9904430578489818,1.4855113301148664,0.6303470540758677,0.670748438097921,0.6391404780445296,1.5625e-06
