epoch,train_loss,train_ce_loss,train_border_loss,train_accuracy,train_macro_f1,val_loss,val_ce_loss,val_border_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,blur_kernel,border_frac,lambda_border
1,1.1258829286130643,1.116929079495842,0.179076948831008,0.48374264960221375,0.4801692491370301,1.077975886641634,1.0702674997920851,0.15416774817586812,0.5149313962873285,0.4801537633381086,0.4946744546689271,0.0001,0.75,21,0.08,0.05
2,0.9037165038109816,0.8961355599388867,0.15161888075097546,0.5774818401937046,0.5992716619358311,0.8733636721475554,0.8661388912154745,0.1444956161520768,0.609362389023406,0.6286967583943277,0.6111214083897148,0.0001,0.75,21,0.08,0.05
3,0.8460847016891696,0.8390934849560612,0.13982435617117847,0.6039432722241439,0.6264947964304914,0.8867464159119985,0.8795340749359207,0.1442467878911647,0.6012913640032284,0.6404751819410037,0.6131131970173371,0.0001,0.75,21,0.08,0.05
4,0.7901369898387693,0.7834734631961953,0.13327052956559757,0.62538913870633,0.6576623903600833,0.7900480164502107,0.7836851644313941,0.12725703783868492,0.615819209039548,0.6356042738966916,0.6121796089376786,0.0001,0.75,21,0.08,0.05
5,0.7411282502400838,0.734770631530383,0.12715237080504513,0.6553095814597025,0.6866009501998352,0.8336488226424118,0.8276725398907265,0.11952565918293953,0.642453591606134,0.6454166328453865,0.6392146272667578,0.0001,0.75,21,0.08,0.05
6,0.7176923052079535,0.7117389413837082,0.1190672980866932,0.6672431684538223,0.696719379524231,0.8728236363384395,0.866405133425564,0.1283699874198658,0.6230831315577078,0.6431037486272652,0.6152784103014529,0.0001,0.75,21,0.08,0.05
7,0.685251033128813,0.6796973218084083,0.11107422789769451,0.6909373919059149,0.7212085238536604,0.7988020986968034,0.7935399097767061,0.10524381192053779,0.615819209039548,0.672575204190202,0.6309952326643375,0.0001,0.75,21,0.08,0.05
8,0.6332976676289164,0.628097126415674,0.10401084396726572,0.7011414735385679,0.7396658967565207,0.909436165035685,0.9041012662302784,0.10669789323771163,0.6747376916868443,0.6555465975251467,0.6416961514139924,0.0001,0.75,21,0.08,0.05
9,0.5788857602961787,0.5737873069949729,0.10196905207650465,0.7352127291594603,0.7727172707362292,0.880565432818115,0.8756032273161305,0.09924412055709268,0.6351896690879741,0.6697819995596623,0.6410300246474231,0.0001,0.75,21,0.08,0.05
10,0.560685628128893,0.5556710067297587,0.10029241214859078,0.7428225527499135,0.7739128752608209,0.9787968428891162,0.9736777072812974,0.10238282561687041,0.5811138014527845,0.6294712307292345,0.5934044004338832,0.0001,0.75,21,0.08,0.05
11,0.49438202862548236,0.4894675006609976,0.09829056211426694,0.7703216879972328,0.8058180892694884,0.9772632812977414,0.9720387246889679,0.10449114394365923,0.648910411622276,0.6724110758247928,0.650705530356435,0.0001,0.75,21,0.08,0.05
12,0.4529407393201459,0.4481345215385161,0.0961243513802763,0.7966101694915254,0.8253379958931564,0.9758954003417174,0.9705673522098686,0.10656109138349067,0.6432606941081518,0.6515445350477241,0.641388166890083,0.0001,0.75,21,0.08,0.05
13,0.40388295589454937,0.3991646823308658,0.09436546167889008,0.8187478381182982,0.845990231832015,1.0254135088058516,1.0207954061858784,0.09236200250041783,0.6214689265536724,0.6716283435547821,0.6367447773089024,0.0001,0.75,21,0.08,0.05
14,0.35696026805011266,0.35242670021928,0.09067134735947949,0.8370805949498443,0.8607017245730934,1.043519419068478,1.0391655619090079,0.08707717017746433,0.655367231638418,0.6702616089059503,0.6496921112398459,0.0001,0.75,21,0.08,0.05
15,0.31466690766351607,0.31017510847303537,0.08983597666056088,0.8663092355586303,0.8876079605251623,1.117827595458866,1.113518553241017,0.08618076475783641,0.6069410815173527,0.6426092202477991,0.6129236116398179,0.0001,0.75,21,0.08,0.05
16,0.2866713034007756,0.2823055089164341,0.08731587636289362,0.8763403666551366,0.8960137758367894,1.1762067842040935,1.1720592848613822,0.08294999530904229,0.6255044390637611,0.6564249883126149,0.6296371059467574,0.0001,0.75,21,0.08,0.05
17,0.22407630021644892,0.2198203896316988,0.08511821681840409,0.9067796610169492,0.9244393195932024,1.3485009821073195,1.3447135999570266,0.07574768862938862,0.5964487489911219,0.6456791631842871,0.6057716164266767,0.0001,0.75,21,0.08,0.05
18,0.2393782430842895,0.23523125521753618,0.0829397587396207,0.9003804911795227,0.9142597355605778,1.3031675425674571,1.2983919859317352,0.09551112372443213,0.5649717514124294,0.6032781176409789,0.5669455630050477,0.0001,0.75,21,0.08,0.05
