epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.1533771629607295,0.462123832583881,0.4663036780474819,2.3871211683297946,0.26069410815173527,0.08444732354439352,0.11038726959849382,0.0001
2,0.9598285892107874,0.5454859910065721,0.5676835923830434,1.6047933537503998,0.18401937046004843,0.11836134464403347,0.11536920331465758,0.0001
3,0.9049931831196574,0.5657212037357315,0.5915663508722165,2.218782421847906,0.15254237288135594,0.0807052518541905,0.07329342637796506,0.0001
4,0.8653927143780429,0.5795572466274646,0.6116925916378049,1.3107798642165436,0.483454398708636,0.31298488539842956,0.40277470952531463,0.0001
5,0.8341477082308416,0.6015219647180906,0.6320357359447986,1.266604710722085,0.5544794188861986,0.36951439438535816,0.48599566323811655,0.0001
6,0.8232790616836073,0.6087858872362504,0.6364995356962273,1.4063131434961709,0.3333333333333333,0.309640601461208,0.2424975527098177,0.0001
7,0.7920831547646076,0.6219301279833968,0.655664300198411,1.2593799126157845,0.4100080710250202,0.35068274816261047,0.3743110039407438,0.0001
8,0.7624429417023483,0.62279488066413,0.6572524516944767,1.1354414215364026,0.5972558514931396,0.48636887819048724,0.5425823507400561,0.0001
9,0.7516179779168851,0.6378415773088897,0.6739874281755588,0.9021250325600114,0.5980629539951574,0.5835558394368474,0.5632792689917279,0.0001
10,0.7291544535835488,0.6490833621584227,0.6874320153563087,0.9776983598819945,0.54317998385795,0.5649133235217848,0.5209564038151531,0.0001
11,0.7051707958935949,0.6594603943272224,0.7030613614499455,0.959538809371822,0.5504439063761097,0.5729930279715167,0.5208653592123665,0.0001
12,0.6690570803681941,0.6753718436527153,0.7158399271023329,0.9262389585411867,0.6238902340597255,0.626274789073724,0.6122806079434375,0.0001
13,0.6616297980177077,0.6755447941888619,0.7189383846192849,0.88228231223482,0.5585149313962873,0.614444039476185,0.5642260971527144,0.0001
14,0.6347902229668483,0.6848841231407817,0.7291742737768685,0.8580620201053496,0.6045197740112994,0.6496451408146215,0.6155612491899101,0.0001
15,0.6137392144226277,0.698547215496368,0.7419308270690044,0.9036864729972498,0.642453591606134,0.6597580029067606,0.6406067537459317,0.0001
16,0.5973618424647986,0.7144586648218609,0.7553956729294115,0.9696589075720435,0.5988700564971752,0.6325385987049557,0.608474237766784,0.0001
17,0.5560756335205703,0.7263922518159807,0.7705014782506291,0.9734353870273694,0.5488297013720742,0.6251440432598772,0.5589921724879215,0.0001
18,0.5297718889488147,0.7381528882739536,0.779314773608069,1.061117509519794,0.47699757869249393,0.5731967846126932,0.47307938892611495,0.0001
19,0.48719234371300757,0.7661708751297129,0.8022513249856609,1.2292450063766445,0.5690072639225182,0.619717474371969,0.5890344929325332,0.0001
20,0.4701422661625362,0.7813905223106191,0.8178868442071829,1.1196683081433694,0.5706214689265536,0.6173445558804561,0.574789292920018,0.0001
21,0.4238696751020145,0.7922864060878588,0.8289373724267481,1.2573576871910048,0.4915254237288136,0.5745215552162108,0.48449651226892226,0.0001
22,0.43445790283039176,0.7928052576962988,0.8289954430727464,1.1297024346533275,0.5286521388216303,0.5826224582945646,0.5246783006720033,0.0001
23,0.3684546428232282,0.8251470079557247,0.8589430271381925,1.2348734314784202,0.5359160613397902,0.5877320153725145,0.5372116749124938,0.0001
24,0.3613341856568753,0.8375994465582843,0.8602201197735695,1.2020348548600517,0.6053268765133172,0.633732996981969,0.608344806679013,0.0001
25,0.3029386209822039,0.8630231753718437,0.8880877795485583,1.3309468878816462,0.5851493139628733,0.6194033540208589,0.584503527590101,0.0001
26,0.285131358866593,0.8732272570044967,0.8968440721306348,1.3818438220062594,0.5706214689265536,0.6291401378558364,0.5842335406707067,0.0001
27,0.26919496665566656,0.87253545485991,0.8974211535044005,1.3964217970263486,0.5641646489104116,0.6098121477535539,0.5687468855481241,0.0001
28,0.25437527545123767,0.8822206848841231,0.9055745957696397,1.338536325532453,0.6190476190476191,0.6444940345240464,0.6148553606891953,0.0001
29,0.2541365459882205,0.8877551020408163,0.8989578717189468,1.4162172836231262,0.6069410815173527,0.6256187961381569,0.601083467995397,0.0001
30,0.2141986974898052,0.9088550674507091,0.9236650688329744,1.447801343585523,0.5940274414850686,0.6351393788065632,0.6001980516061376,0.0001
