epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.1886392986019851,0.4891041162227603,0.47271156508225004,1.1859679460477406,0.5988700564971752,0.48743973202421376,0.5353549602089923,0.0001
2,0.9526129214048633,0.585956416464891,0.5991023601023733,0.955359890467703,0.6448748991121872,0.6269638338891392,0.6244212166559168,0.0001
3,0.8698933987892116,0.62279488066413,0.6424528016926825,0.9528853684735933,0.615819209039548,0.6494930860328659,0.6294293244275211,0.0001
4,0.8089496610394319,0.649429263230716,0.6743887097499398,0.8392551805195643,0.6481033091202583,0.6197438156962873,0.6159493112823656,0.0001
5,0.7424488566256608,0.676582497405742,0.6977900170470257,0.9248892096524474,0.6303470540758677,0.6386015664363136,0.6300426231963426,0.0001
6,0.6596464727451462,0.7089242476651678,0.734872024077059,0.9012561048154777,0.6731234866828087,0.6666679541705853,0.6575545332154598,0.0001
7,0.5927493705886823,0.7466274645451401,0.7789984667844878,0.928570997917046,0.6650524616626311,0.6666380178469116,0.6620972326620796,0.0001
8,0.5247155792807593,0.7793151158768592,0.8075460708465381,1.0330462220024927,0.6747376916868443,0.6673047342184952,0.656764125907617,0.0001
9,0.45826923117087975,0.8024904877205119,0.8266228930514604,1.1030610021206764,0.6577885391444713,0.6590995820778134,0.656383892797177,0.0001
10,0.3801218459736369,0.8422691110342442,0.8660585725995233,1.1959006659704605,0.6174334140435835,0.6591075502210323,0.6332864903104708,0.0001
11,0.3207376175265294,0.8663092355586303,0.8883710339581878,1.2214624114316543,0.6238902340597255,0.6484462667437861,0.6253026522739872,0.0001
12,0.2695151012350906,0.8964026288481495,0.9119980811239479,1.313036835577288,0.6715092816787732,0.653627050053096,0.6525585921690416,0.0001
13,0.2392541602143096,0.912487028709789,0.9246338539170946,1.3609012305808703,0.5875706214689266,0.6280312409038477,0.5960169023159285,0.0001
14,0.23921011180195872,0.9105845728121758,0.9158606438873391,1.2222176203752257,0.5819209039548022,0.6211031272079186,0.5874519710369125,0.0001
15,0.1777986738835959,0.9363542026980284,0.939781508219687,1.3620845522848803,0.6416464891041163,0.6540252306768496,0.6410692093182101,0.0001
16,0.14764597655291048,0.9472500864752681,0.9549702482893915,1.5309029517092465,0.5714285714285714,0.6200792476842993,0.5767386042836378,0.0001
17,0.14117586122782574,0.9484607402282947,0.9555097330363459,1.6368427380823243,0.6505246166263116,0.6462615396925803,0.6381702720071831,0.0001
18,0.16275432411244958,0.9460394327222414,0.9442588605088625,1.435659057544161,0.639225181598063,0.6649787616478986,0.6433484661095714,0.0001
19,0.08438771184751605,0.9745762711864406,0.9762829648675195,1.4880955711794872,0.6166263115415658,0.6231355908395375,0.6127985634543022,0.0001
20,0.13510488004744858,0.9491525423728814,0.9520302727405902,1.4986919484118524,0.6634382566585957,0.677122270731129,0.6586637765128799,0.0001
21,0.10791651799627981,0.9662746454514008,0.9690807455695657,1.4767339786543203,0.6142050040355125,0.6583952828607995,0.6292145993535915,0.0001
22,0.09687215707093137,0.9661016949152542,0.9707917139322445,1.3869826077236294,0.6384180790960452,0.654152864940255,0.6319371719852358,0.0001
23,0.10468540281902668,0.9641992390176409,0.9695955692306478,1.4410179025667198,0.6150121065375302,0.6367114728094552,0.6145610907442468,0.0001
24,0.08906872995939996,0.9721549636803875,0.9750130484960206,1.7249031357972298,0.6263115415657788,0.6555479072145982,0.6294230910435685,0.0001
25,0.11321004998133448,0.965755793842961,0.9602031337319487,1.8426289598685273,0.6246973365617433,0.605445644344172,0.595003469568634,0.0001
26,0.08848931487754054,0.973884469041854,0.9745605190568394,1.4259333893028332,0.6230831315577078,0.6551097207885247,0.6263199909180246,0.0001
27,0.06941234861542118,0.9780352819093739,0.9808848816747051,1.7136294880943543,0.655367231638418,0.6472208776480206,0.6360451767782297,0.0001
28,0.06803872752954022,0.9771705292286406,0.9802913237618205,1.7230635221650683,0.58272800645682,0.6300261589756968,0.5918754990611403,0.0001
29,0.08092747775490507,0.9714631615358008,0.9758734971671569,1.5901244052800803,0.6279257465698144,0.6485987581858137,0.629034002169934,0.0001
30,0.06741881818358861,0.9776893808370806,0.9812131504605223,2.0144189252812024,0.6351896690879741,0.6239143927233816,0.615651773056077,0.0001
