epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,0.4610005775998101,0.801452784503632,0.8350044725300034,0.9302328159435802,0.6618240516545602,0.6793454212516448,0.6609944308164304,5e-05
2,0.3117817121882292,0.8739190591490834,0.8954184575948352,0.9922585340158125,0.6634382566585957,0.6925262634187612,0.6683726230881832,5e-05
3,0.19737821450925377,0.9320304392943618,0.9447474251365916,1.2227218922248668,0.6368038740920097,0.682021153370533,0.646507815821551,5e-05
4,0.14279254558114435,0.9548599100657212,0.9634780611464298,1.3153444960340557,0.6545601291364003,0.6849505194752752,0.6589172301450411,5e-05
5,0.10922578664252355,0.9676582497405742,0.9735819339596155,1.5085090024756076,0.6497175141242938,0.6741921086011966,0.6557366446300714,5e-05
6,0.09178079191797624,0.9731926668972674,0.9779957111508647,1.4250998315405135,0.6626311541565779,0.6828068906135112,0.6593711401863105,5e-05
7,0.08419454490249852,0.9775164303009339,0.9814345535578918,1.6119826132246715,0.6359967715899919,0.6663843374765934,0.6386230208639232,5e-05
8,0.0825568438568502,0.9761328260117607,0.979946019131669,1.6463196180021213,0.6594027441485069,0.6708642899320049,0.6514978726584763,5e-05
9,0.05672561206678666,0.988239363542027,0.9901591329248861,1.7161866442403357,0.6715092816787732,0.675113593341852,0.6588176479328625,5e-05
10,0.06505865396610266,0.9837426496022138,0.9858166524833191,1.715687607328578,0.672316384180791,0.6778129695712066,0.6632409917248865,5e-05
11,0.09021379014419792,0.9775164303009339,0.9748412880413015,1.5783727455153593,0.642453591606134,0.6587154311267053,0.6369186177487608,5e-05
12,0.054246941384859707,0.9863369076444137,0.9880884919543984,1.6685972356382544,0.6206618240516546,0.6670709490350537,0.6304795350267949,5e-05
13,0.056653615557603135,0.9904877205119336,0.9896862943364042,1.5518703592987768,0.6142050040355125,0.6591942108805293,0.6264542500607055,5e-05
14,0.03633699166375547,0.9923901764095469,0.9937917111253183,1.6084467881239644,0.6594027441485069,0.6817411412906065,0.6587461495574953,5e-05
15,0.05019295259805049,0.9885852646143203,0.9887833341665516,1.737008678650933,0.6513317191283293,0.6544212826716316,0.6421756562206152,5e-05
