epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,lambda_border,lambda_roi,noise_std,noise_prob
1,1.216531384201538,0.4809754410238672,0.4631619146543101,1.1342177835320926,0.58272800645682,0.48360683779281766,0.5125106970459516,0.0001,0.0,0.1,0.05,0.5
2,0.9793011600976995,0.5847457627118644,0.5940306214667356,0.94854001314819,0.6206618240516546,0.6098111470008881,0.6056952447108297,0.0001,0.0,0.1,0.05,0.5
3,0.8980573197985883,0.6184711172604636,0.631467626113521,0.894746430945839,0.6198547215496368,0.667012880933651,0.6379447528072854,0.0001,0.0,0.1,0.05,0.5
4,0.817786930259723,0.648910411622276,0.676637116738482,0.8337478020241224,0.6585956416464891,0.6441506598629061,0.631133894978235,0.0001,0.0,0.1,0.05,0.5
5,0.7624224936650806,0.6755447941888619,0.6948921580973484,0.89315370172623,0.6206618240516546,0.6439870355199435,0.6180488892940738,0.0001,0.0,0.1,0.05,0.5
6,0.6982371574019693,0.699066067104808,0.7261131330539486,0.9000316260140494,0.6715092816787732,0.6684325047841408,0.6558607338039948,0.0001,0.0,0.1,0.05,0.5
7,0.621853405496976,0.7289865098581806,0.7629772501141137,1.0490897401770436,0.6311541565778854,0.6092913286837706,0.626116427933286,0.0001,0.0,0.1,0.05,0.5
8,0.5780246590777319,0.75077827741266,0.7826894713268835,0.9473420430134148,0.6739305891848265,0.66101825050722,0.6530706290238386,0.0001,0.0,0.1,0.05,0.5
9,0.5155337114120305,0.7853683846419924,0.8099083318072114,0.9785273210044058,0.6561743341404358,0.6663778571622094,0.6530064084697611,0.0001,0.0,0.1,0.05,0.5
10,0.46017369835156546,0.8054306468350052,0.8332391252865307,1.0585543500369263,0.6037126715092817,0.65396723940655,0.6230554244131905,0.0001,0.0,0.1,0.05,0.5
11,0.40152328769766266,0.8296437218955379,0.8576161901999612,1.1620432542121344,0.6400322841000807,0.6543181346497652,0.6371565608090264,0.0001,0.0,0.1,0.05,0.5
12,0.3637714979983931,0.851089588377724,0.8683307584103315,1.1567711153002254,0.6795803066989508,0.6652950049807813,0.6670574484929663,0.0001,0.0,0.1,0.05,0.5
13,0.31043219960264706,0.87668626772743,0.8963221847961466,1.1665614386952818,0.5948345439870864,0.642127448293707,0.608646613099338,0.0001,0.0,0.1,0.05,0.5
14,0.2728814803056138,0.8917329643721895,0.9113045300199953,1.1918184875455762,0.6020984665052461,0.6354025641955519,0.6085039829932709,0.0001,0.0,0.1,0.05,0.5
15,0.230476869313373,0.9142165340712556,0.9236881028149402,1.2620328286598055,0.6182405165456013,0.6475796645341598,0.6195889097759943,0.0001,0.0,0.1,0.05,0.5
16,0.21815406366414736,0.9130058803182289,0.9276289181686345,1.4285647506713626,0.6037126715092817,0.6409066831877451,0.6112844747389511,0.0001,0.0,0.1,0.05,0.5
17,0.19193591815440433,0.9287443791075752,0.9349079277195221,1.3957457998790046,0.6287328490718321,0.6452767901856821,0.6292882600946681,0.0001,0.0,0.1,0.05,0.5
18,0.16947442427952783,0.9392943618125216,0.9464980441347055,1.4536422261903612,0.6448748991121872,0.6451476664589496,0.6298005604829208,0.0001,0.0,0.1,0.05,0.5
19,0.1690561327321725,0.9389484607402283,0.9460033570219935,1.4716011795596406,0.6561743341404358,0.6265390566090389,0.6337238185440709,0.0001,0.0,0.1,0.05,0.5
20,0.13819789766636492,0.952957454168108,0.9567829636596512,1.4549898632634446,0.6174334140435835,0.6400228474813731,0.6239729719441709,0.0001,0.0,0.1,0.05,0.5
21,0.13955787813341852,0.9531304047042546,0.959534776195434,1.5287459716486465,0.5891848264729621,0.6274721454893271,0.6005240966534727,0.0001,0.0,0.1,0.05,0.5
22,0.12208646615056772,0.9584918713248011,0.9626809534109722,1.5030447559865663,0.6311541565778854,0.6220764905966262,0.6208496856367419,0.0001,0.0,0.1,0.05,0.5
23,0.12810953830464494,0.9583189207886544,0.9586211793612718,1.5246301292651503,0.6190476190476191,0.6392087320538484,0.6191678226128555,0.0001,0.0,0.1,0.05,0.5
24,0.10904513112717447,0.9654098927706676,0.9688963165307956,1.5827701772691696,0.6384180790960452,0.64133676071534,0.6231668802401394,0.0001,0.0,0.1,0.05,0.5
25,0.11324071287509635,0.9647180906260809,0.9650273138610785,1.4276440949408493,0.6666666666666666,0.654377353988346,0.6438382327466735,0.0001,0.0,0.1,0.05,0.5
26,0.12262832015444822,0.9617779315115876,0.9631475200182165,1.4662036866136046,0.6472962066182405,0.6664440728502957,0.6468971012285152,0.0001,0.0,0.1,0.05,0.5
27,0.09432691835583452,0.9702525077827742,0.9708211994144026,1.582089496734368,0.6545601291364003,0.6547250812337699,0.6428536763577645,0.0001,0.0,0.1,0.05,0.5
28,0.08986464021463283,0.9685230024213075,0.9725707875197387,1.555618067907171,0.6271186440677966,0.6461601843293246,0.6243129765627804,0.0001,0.0,0.1,0.05,0.5
29,0.09518318248681391,0.9688689034936008,0.9735316657222045,1.5991574197472394,0.609362389023406,0.6420583374041937,0.613288168504305,0.0001,0.0,0.1,0.05,0.5
30,0.10528725286219585,0.9688689034936008,0.9692986424843937,1.6085637859350688,0.6230831315577078,0.6263662119393081,0.621565410620361,0.0001,0.0,0.1,0.05,0.5
