epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suspicious_suppression_probability,suspicious_train_cases_matched
1,0.990952437124381,0.5399515738498789,0.548281621831997,1.2068565697127336,0.5399515738498789,0.44485924158245993,0.49537532796158024,0.0001,1.0,769
2,0.7897059512938318,0.6265997924593566,0.6472295087569241,1.0242078366829948,0.5819209039548022,0.5939923284176905,0.593815176340035,0.0001,1.0,769
3,0.7280408371303041,0.6636112071947423,0.6856299776533943,1.018048764574037,0.585956416464891,0.6218095705121577,0.6009286501360989,0.0001,1.0,769
4,0.6669060616334884,0.6835005188516085,0.7168546292789381,0.9103849400330976,0.6658595641646489,0.6504931809147083,0.6518790244978018,0.0001,1.0,769
5,0.6216562199359614,0.7080594949844344,0.7405418483484723,0.9161621307633979,0.6319612590799032,0.6244745238821843,0.6304339612738615,0.0001,1.0,769
6,0.5846345589899844,0.7315807679003805,0.7649899323591113,0.9217305709220788,0.6029055690072639,0.6144250696425655,0.6106227262310185,0.0001,1.0,769
7,0.5451846257630454,0.7490487720511934,0.7770675145489756,0.975713467963575,0.6190476190476191,0.6434383903305461,0.6281071512328325,0.0001,1.0,769
8,0.46067777826005885,0.784503631961259,0.820433464805148,1.370125699057706,0.6545601291364003,0.6124654744069146,0.6267449746417705,0.0001,1.0,769
9,0.4516278386311892,0.7945347630577655,0.819905950100471,1.0653196962082743,0.645682001614205,0.608721902798999,0.6323396194051248,0.0001,1.0,769
10,0.38775296221138983,0.8289519197509513,0.8542533953014999,1.192656033119913,0.552865213882163,0.5993647737076835,0.558431799356778,0.0001,1.0,769
11,0.32807454276625075,0.8554133517813906,0.8747480761801498,1.0587113856836323,0.6230831315577078,0.6416933974842746,0.6281457360277426,0.0001,1.0,769
12,0.2726682225472269,0.8841231407817364,0.9019996274622166,1.5134889491750312,0.6319612590799032,0.6299585457850572,0.6262308012111333,0.0001,1.0,769
13,0.2565569661071879,0.8957108267035628,0.910138053312119,1.4828399295908872,0.6101694915254238,0.617894765175953,0.6169938622252614,0.0001,1.0,769
14,0.21075532221744647,0.9090280179868557,0.9262104674372666,1.2954236054319446,0.6497175141242938,0.6615271637167807,0.6488672355671269,0.0001,1.0,769
15,0.18591174239177413,0.9230370114147354,0.936480143819372,1.840114782831186,0.5972558514931396,0.5959631971570889,0.5888836210937888,0.0001,1.0,769
16,0.2196128863840651,0.9102386717398824,0.9130367223409376,1.5231442509446056,0.6174334140435835,0.6049225712449222,0.6078613475925316,0.0001,1.0,769
17,0.14413595283342784,0.9427533725354549,0.9538562675499721,1.4564336110162004,0.6109765940274415,0.6396583188889762,0.6223476980313125,0.0001,1.0,769
18,0.13393953267616338,0.9444828778969215,0.9550221175688701,1.5583822153045632,0.6101694915254238,0.6123928873882032,0.6069113113057165,0.0001,1.0,769
19,0.13828007928529043,0.9403320650294016,0.9464233138026291,1.5402048556818126,0.6271186440677966,0.6275832712672076,0.6292961124081827,0.0001,1.0,769
20,0.1283596463199281,0.9463853337945347,0.9552022447937418,1.7934437021793523,0.6214689265536724,0.6302176864025453,0.6276391069315965,0.0001,1.0,769
21,0.10842253738000798,0.9555517122103079,0.9634173870793246,1.9240579893744887,0.5956416464891041,0.5944887754655955,0.5975052793779685,0.0001,1.0,769
22,0.12082924791408779,0.9567623659633345,0.9619347982777018,1.928958215713922,0.655367231638418,0.6185205945184864,0.6248153603023545,0.0001,1.0,769
23,0.11299650403160366,0.9541681079211346,0.9608959054338729,1.8898634087832538,0.6109765940274415,0.6030258068056141,0.6070631672790165,0.0001,1.0,769
24,0.10044175374968507,0.9588377723970944,0.9664579205118929,1.81904368409233,0.6384180790960452,0.6479768985828648,0.6445851071468696,0.0001,1.0,769
25,0.12491518901011915,0.9546869595295745,0.95575128381799,1.596923531232292,0.6029055690072639,0.6347458005681567,0.6141469477268859,0.0001,1.0,769
26,0.07465556407946834,0.9666205465236942,0.97183286869252,1.5581004873242852,0.655367231638418,0.6569711706330155,0.6510291923291154,0.0001,1.0,769
27,0.08081873585345994,0.9692148045658942,0.9728529801604111,1.746383327362372,0.5972558514931396,0.6217166513206049,0.605583401406716,0.0001,1.0,769
28,0.1001656831593927,0.9605672777585611,0.966308610830502,1.815232784145296,0.612590799031477,0.6271887111822593,0.6180336543571971,0.0001,1.0,769
29,0.08047281757376595,0.9667934970598409,0.9719505967983894,1.6640857036215726,0.6368038740920097,0.6375745774163126,0.6346222332143704,0.0001,1.0,769
30,0.14362666024064594,0.9501902455897613,0.9482105912383101,1.73407903465174,0.6190476190476191,0.6216736019646288,0.6220809903351899,0.0001,1.0,769
