epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode,roi_inversion_for_mask_generation
1,1.0998575511955135,0.49239017640954685,0.49040851687057,1.0245026940294963,0.5488297013720742,0.5003620310525003,0.5221925156548449,0.0001,0.5,blur,False
2,0.8906937180527021,0.5866482186094777,0.6056967931696443,0.8984806831081227,0.5972558514931396,0.6052575659644894,0.6008027823673526,0.0001,0.5,blur,False
3,0.8181003971274688,0.6196817710134901,0.6495212239181675,0.8436420454769196,0.6335754640839386,0.6761084095623942,0.64043114652625,0.0001,0.5,blur,False
4,0.7703133635725459,0.6369768246281563,0.6671828872545501,0.7879613435634015,0.655367231638418,0.6642079296811041,0.6409261835273911,0.0001,0.5,blur,False
5,0.7185861560989936,0.6589415427187825,0.6921479162013445,0.7884529490592116,0.6585956416464891,0.6665209611765205,0.6518278284766061,0.0001,0.5,blur,False
6,0.6975866490913815,0.6689726738152888,0.6982939733937512,0.7649802554991093,0.6795803066989508,0.6863426859733932,0.6668062088912993,0.0001,0.5,blur,False
7,0.6722363178414978,0.6874783811829817,0.721828281172509,0.7816018839340425,0.6408393866020985,0.6801979002256265,0.6509990518938458,0.0001,0.5,blur,False
8,0.60349892322599,0.7196471809062608,0.7539040999617469,0.8844054073600446,0.6715092816787732,0.6489533574848065,0.6450487611164684,0.0001,0.5,blur,False
9,0.5766719958848996,0.7390176409546869,0.774540852948669,0.8043630697416432,0.6908797417271993,0.6927071008269414,0.6790558634764182,0.0001,0.5,blur,False
10,0.5316726306613776,0.7599446558284331,0.7909124153109415,0.9195276763383374,0.612590799031477,0.6629517187554133,0.6290879450670632,0.0001,0.5,blur,False
11,0.48291095403167705,0.7704946385333794,0.8067620249285385,1.0374238666889646,0.6594027441485069,0.661405520333944,0.654960969924912,0.0001,0.5,blur,False
12,0.44500710512116803,0.8002421307506054,0.8270741581813985,0.9402074479498721,0.6521388216303471,0.6780777947860078,0.6479594902282906,0.0001,0.5,blur,False
13,0.3929810654391306,0.8168453822206849,0.8481959976052547,1.0089545820488672,0.606133979015335,0.6520374146456381,0.6212010422660696,0.0001,0.5,blur,False
14,0.3406771582221746,0.8450363196125908,0.8701230189384865,1.07053155654664,0.6311541565778854,0.6558733783908635,0.6285100306644344,0.0001,0.5,blur,False
15,0.32121974473096887,0.8550674507090972,0.8763180115469996,1.2554234670861486,0.6230831315577078,0.6400634046502199,0.6304757242077541,0.0001,0.5,blur,False
16,0.2845553268457172,0.8806641300588032,0.8997337227571702,1.1902530213774356,0.6658595641646489,0.6720084087371943,0.6531046683410481,0.0001,0.5,blur,False
17,0.24208914780933236,0.8950190245589761,0.9148504789392163,1.1876276652114444,0.5851493139628733,0.6505867971944224,0.602224889948264,0.0001,0.5,blur,False
18,0.23636155228788663,0.9029747492217226,0.917804948021945,1.2756990960666112,0.6238902340597255,0.6363421587173805,0.6168197634721252,0.0001,0.5,blur,False
19,0.17769276224971023,0.9214804565894155,0.9357435811533884,1.266025766958817,0.6311541565778854,0.6669544205274542,0.6354994013767399,0.0001,0.5,blur,False
20,0.2006204303863659,0.9216534071255621,0.9349297970684158,1.2290717638830584,0.6263115415657788,0.6627462595694753,0.6300645295148071,0.0001,0.5,blur,False
21,0.15372565717267891,0.9306468350051885,0.9430342309645561,1.5852959405230937,0.552865213882163,0.6266849169402783,0.5718099060815315,0.0001,0.5,blur,False
22,0.18429219425020954,0.9197509512279488,0.9313443339886828,1.952366200616227,0.6335754640839386,0.5924758413446551,0.5960966365737463,0.0001,0.5,blur,False
23,0.19873083808624603,0.927360774818402,0.930889487654175,1.2896795329112407,0.6408393866020985,0.6562127043683312,0.6365836783705862,0.0001,0.5,blur,False
24,0.14753506015741374,0.9417156693185749,0.9459412801793163,1.4092434713522257,0.6513317191283293,0.6769035850445428,0.6527582093600519,0.0001,0.5,blur,False
25,0.11538959014419864,0.9515738498789347,0.9602005569977635,1.3574080180626324,0.672316384180791,0.6860821385654352,0.6681415481601213,0.0001,0.5,blur,False
26,0.11049532964526035,0.9538222068488412,0.9619432004179117,1.5675622249823409,0.5730427764326069,0.6194976503079284,0.5857349228999418,0.0001,0.5,blur,False
27,0.151408715106918,0.9411968177101349,0.9475097320580235,1.546126253914939,0.6416464891041163,0.6427713522850114,0.6278449022347355,0.0001,0.5,blur,False
28,0.11408076002702261,0.952438602559668,0.9604231117839976,1.4204821643976553,0.6206618240516546,0.65632956931184,0.6220507158376573,0.0001,0.5,blur,False
29,0.09843158756014873,0.9583189207886544,0.9662855591367183,1.7065413456599592,0.6335754640839386,0.6434281286353493,0.6187768417754878,0.0001,0.5,blur,False
30,0.11426546654172064,0.9539951573849879,0.9597363400312011,1.5771381157834483,0.6142050040355125,0.6501091850715515,0.618910211501553,0.0001,0.5,blur,False
