epoch,train_loss,train_ce_loss,train_border_loss,train_accuracy,train_macro_f1,val_loss,val_ce_loss,val_border_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,blur_kernel,border_frac,lambda_border
1,1.111580200526839,1.1030329149596545,0.1709457063749149,0.4918713248011069,0.49537869993974937,1.0765827456436587,1.0680348538313305,0.17095786663820128,0.5189669087974172,0.5055153408085131,0.5006533230255656,0.0001,0.5,31,0.08,0.05
2,0.9052890822863504,0.8977569873379985,0.15064191966681942,0.5837080594949844,0.6070317300635346,0.8909454864297209,0.8835636560141414,0.14763658277876826,0.5948345439870864,0.6053766072633188,0.6030730925917557,0.0001,0.5,31,0.08,0.05
3,0.8404584034674311,0.8334381442835321,0.14040518906940352,0.6143203043929436,0.6376545046311319,0.8659458386744098,0.8584430791900657,0.15005514869967038,0.6311541565778854,0.665462036942686,0.6352040209307248,0.0001,0.5,31,0.08,0.05
4,0.7861911127700066,0.7796220805396756,0.13138065512144867,0.6210653753026635,0.6505190479238737,0.8010162722689188,0.7947836696043238,0.12465204445222773,0.648910411622276,0.6389100158402725,0.6303299218066934,0.0001,0.5,31,0.08,0.05
5,0.7391736463707073,0.7330849225423774,0.12177446611877628,0.6587685921826357,0.6887499076802239,0.8246753260769895,0.8187866549370653,0.11777344098295099,0.655367231638418,0.6745992999953785,0.6551631875606521,0.0001,0.5,31,0.08,0.05
6,0.712365101712338,0.7067453234367245,0.1123955597729264,0.664303009339329,0.701683379982803,0.8127088423358326,0.8071415397888042,0.11134605884215253,0.6666666666666666,0.6609322006479971,0.6525747148024137,0.0001,0.5,31,0.08,0.05
7,0.675019855577201,0.6696984663074794,0.10642780788791753,0.6912832929782082,0.725403290468155,0.8009054977101026,0.7955719273209668,0.10667144303316066,0.5996771589991929,0.6624469179646347,0.6131226544874868,0.0001,0.5,31,0.08,0.05
8,0.6221071516290251,0.6169076097162073,0.10399083435195246,0.7068488412314078,0.743497246286704,0.8724557392846393,0.8670710393072041,0.10769404832324836,0.6682808716707022,0.6595667565445982,0.6466930330253322,0.0001,0.5,31,0.08,0.05
9,0.5829379319196257,0.5780166235814578,0.09842617525253607,0.7329643721895538,0.7709338869594403,0.8269750066973491,0.821693519847445,0.10562975202552535,0.682001614205004,0.6790096689591073,0.6635741676166584,0.0001,0.5,31,0.08,0.05
10,0.5394454519977953,0.5345853005817134,0.09720302520326907,0.7493946731234867,0.7806021992968508,1.0138735095275035,1.0089143078061629,0.09918399577880695,0.5835351089588378,0.6270607629669648,0.5954122770753464,0.0001,0.5,31,0.08,0.05
